year,Danelle
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,7
1939,9
1940,10
1941,6
1942,10
1943,7
1944,5
1945,11
1946,22
1947,16
1948,15
1949,32
1950,15
1951,23
1952,32
1953,29
1954,28
1955,52
1956,34
1957,43
1958,36
1959,28
1960,65
1961,69
1962,73
1963,82
1964,104
1965,103
1966,105
1967,133
1968,162
1969,153
1970,172
1971,174
1972,171
1973,221
1974,265
1975,231
1976,242
1977,234
1978,236
1979,229
1980,218
1981,221
1982,216
1983,215
1984,246
1985,219
1986,222
1987,202
1988,171
1989,144
1990,127
1991,127
1992,127
1993,104
1994,92
1995,79
1996,74
1997,54
1998,52
1999,41
2000,56
2001,37
2002,38
2003,36
2004,32
2005,29
2006,26
2007,33
2008,26
2009,22
2010,14
2011,22
2012,13
