year,Denette
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,5
1949,5
1950,9
1951,5
1952,0
1953,6
1954,10
1955,12
1956,17
1957,6
1958,16
1959,34
1960,55
1961,26
1962,35
1963,37
1964,39
1965,40
1966,26
1967,26
1968,31
1969,25
1970,25
1971,21
1972,21
1973,25
1974,10
1975,10
1976,10
1977,12
1978,14
1979,7
1980,10
1981,14
1982,11
1983,0
1984,6
1985,0
1986,5
1987,5
1988,9
1989,0
1990,5
1991,0
1992,7
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
