year,Daphine
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,7
1915,10
1916,11
1917,7
1918,13
1919,7
1920,18
1921,22
1922,29
1923,22
1924,32
1925,19
1926,27
1927,28
1928,30
1929,23
1930,29
1931,24
1932,27
1933,30
1934,29
1935,23
1936,13
1937,16
1938,9
1939,9
1940,19
1941,17
1942,14
1943,9
1944,18
1945,14
1946,12
1947,14
1948,12
1949,13
1950,11
1951,17
1952,16
1953,23
1954,19
1955,19
1956,22
1957,15
1958,29
1959,19
1960,25
1961,35
1962,49
1963,38
1964,35
1965,26
1966,17
1967,24
1968,24
1969,20
1970,25
1971,29
1972,37
1973,20
1974,19
1975,13
1976,9
1977,16
1978,6
1979,5
1980,9
1981,11
1982,7
1983,11
1984,8
1985,8
1986,14
1987,0
1988,8
1989,12
1990,6
1991,8
1992,7
1993,0
1994,6
1995,6
1996,0
1997,0
1998,5
1999,0
2000,6
2001,7
2002,0
2003,5
2004,8
2005,0
2006,6
2007,7
2008,0
2009,8
2010,5
2011,0
2012,0
