year,Dewanna
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,5
1931,0
1932,6
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,5
1942,5
1943,0
1944,0
1945,0
1946,0
1947,6
1948,9
1949,0
1950,0
1951,9
1952,12
1953,10
1954,11
1955,13
1956,14
1957,30
1958,13
1959,15
1960,20
1961,17
1962,19
1963,13
1964,24
1965,22
1966,30
1967,18
1968,23
1969,22
1970,21
1971,23
1972,12
1973,20
1974,21
1975,15
1976,21
1977,15
1978,11
1979,16
1980,24
1981,22
1982,11
1983,6
1984,13
1985,0
1986,12
1987,10
1988,13
1989,10
1990,11
1991,9
1992,10
1993,12
1994,0
1995,0
1996,7
1997,8
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
