year,Damon (F),Damon (M)
1880,0.000000,0.000030
1881,0.000000,0.000000
1882,0.000000,0.000000
1883,0.000000,0.000000
1884,0.000000,0.000000
1885,0.000000,0.000000
1886,0.000000,0.000000
1887,0.000000,0.000000
1888,0.000000,0.000000
1889,0.000000,0.000017
1890,0.000000,0.000000
1891,0.000000,0.000000
1892,0.000000,0.000033
1893,0.000000,0.000022
1894,0.000000,0.000000
1895,0.000000,0.000023
1896,0.000000,0.000014
1897,0.000000,0.000000
1898,0.000000,0.000018
1899,0.000000,0.000021
1900,0.000000,0.000024
1901,0.000000,0.000017
1902,0.000000,0.000000
1903,0.000000,0.000016
1904,0.000000,0.000032
1905,0.000000,0.000042
1906,0.000000,0.000021
1907,0.000000,0.000028
1908,0.000000,0.000000
1909,0.000000,0.000022
1910,0.000000,0.000012
1911,0.000000,0.000011
1912,0.000000,0.000031
1913,0.000000,0.000018
1914,0.000000,0.000020
1915,0.000000,0.000022
1916,0.000000,0.000032
1917,0.000000,0.000017
1918,0.000000,0.000021
1919,0.000000,0.000028
1920,0.000000,0.000027
1921,0.000000,0.000020
1922,0.000000,0.000031
1923,0.000000,0.000022
1924,0.000000,0.000025
1925,0.000000,0.000027
1926,0.000000,0.000031
1927,0.000000,0.000027
1928,0.000000,0.000030
1929,0.000000,0.000022
1930,0.000000,0.000025
1931,0.000000,0.000024
1932,0.000000,0.000031
1933,0.000000,0.000037
1934,0.000000,0.000031
1935,0.000000,0.000024
1936,0.000000,0.000034
1937,0.000000,0.000032
1938,0.000000,0.000029
1939,0.000000,0.000031
1940,0.000000,0.000028
1941,0.000000,0.000026
1942,0.000000,0.000035
1943,0.000000,0.000026
1944,0.000000,0.000028
1945,0.000000,0.000027
1946,0.000000,0.000032
1947,0.000000,0.000038
1948,0.000000,0.000030
1949,0.000000,0.000039
1950,0.000000,0.000034
1951,0.000001,0.000036
1952,0.000000,0.000035
1953,0.000000,0.000045
1954,0.000000,0.000054
1955,0.000000,0.000054
1956,0.000000,0.000057
1957,0.000000,0.000062
1958,0.000000,0.000055
1959,0.000000,0.000082
1960,0.000001,0.000087
1961,0.000000,0.000113
1962,0.000001,0.000121
1963,0.000000,0.000190
1964,0.000000,0.000180
1965,0.000000,0.000199
1966,0.000001,0.000249
1967,0.000002,0.000289
1968,0.000002,0.000394
1969,0.000003,0.000419
1970,0.000004,0.000450
1971,0.000006,0.000461
1972,0.000005,0.000613
1973,0.000005,0.000678
1974,0.000009,0.000777
1975,0.000007,0.000755
1976,0.000008,0.000809
1977,0.000009,0.000742
1978,0.000006,0.000624
1979,0.000004,0.000435
1980,0.000002,0.000260
1981,0.000002,0.000198
1982,0.000003,0.000182
1983,0.000003,0.000174
1984,0.000000,0.000171
1985,0.000000,0.000166
1986,0.000000,0.000158
1987,0.000002,0.000148
1988,0.000000,0.000158
1989,0.000000,0.000167
1990,0.000000,0.000199
1991,0.000000,0.000228
1992,0.000002,0.000262
1993,0.000002,0.000265
1994,0.000000,0.000251
1995,0.000000,0.000261
1996,0.000000,0.000274
1997,0.000002,0.000272
1998,0.000000,0.000286
1999,0.000000,0.000276
2000,0.000000,0.000276
2001,0.000000,0.000277
2002,0.000000,0.000275
2003,0.000000,0.000269
2004,0.000002,0.000260
2005,0.000000,0.000262
2006,0.000000,0.000198
2007,0.000000,0.000169
2008,0.000000,0.000149
2009,0.000000,0.000136
2010,0.000000,0.000181
2011,0.000000,0.000187
2012,0.000000,0.000198
2013,0.000000,0.000218
2014,0.000000,0.000206
2015,0.000000,0.000194
2016,0.000000,0.000191
2017,0.000000,0.000198
2018,0.000000,0.000205
2019,0.000000,0.000188
2020,0.000000,0.000208
