year,Devora
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,6
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,9
1924,0
1925,0
1926,6
1927,7
1928,9
1929,0
1930,5
1931,6
1932,7
1933,6
1934,6
1935,0
1936,0
1937,6
1938,0
1939,0
1940,7
1941,10
1942,9
1943,0
1944,6
1945,0
1946,0
1947,15
1948,16
1949,13
1950,17
1951,6
1952,17
1953,19
1954,15
1955,12
1956,19
1957,21
1958,18
1959,23
1960,19
1961,12
1962,18
1963,16
1964,12
1965,22
1966,23
1967,22
1968,17
1969,20
1970,20
1971,14
1972,20
1973,8
1974,19
1975,27
1976,19
1977,23
1978,28
1979,27
1980,21
1981,24
1982,17
1983,28
1984,28
1985,26
1986,33
1987,27
1988,28
1989,42
1990,28
1991,29
1992,43
1993,32
1994,41
1995,42
1996,46
1997,31
1998,47
1999,42
2000,37
2001,52
2002,40
2003,39
2004,49
2005,46
2006,47
2007,50
2008,52
2009,56
2010,54
2011,62
2012,55
