year,Dicie
1880,8
1881,7
1882,11
1883,10
1884,12
1885,14
1886,5
1887,11
1888,10
1889,13
1890,16
1891,7
1892,12
1893,11
1894,13
1895,21
1896,15
1897,15
1898,9
1899,14
1900,15
1901,12
1902,12
1903,13
1904,23
1905,15
1906,11
1907,12
1908,15
1909,12
1910,16
1911,15
1912,14
1913,26
1914,18
1915,23
1916,23
1917,18
1918,28
1919,22
1920,42
1921,26
1922,20
1923,22
1924,23
1925,19
1926,24
1927,29
1928,20
1929,16
1930,20
1931,11
1932,22
1933,18
1934,14
1935,14
1936,19
1937,10
1938,14
1939,6
1940,9
1941,9
1942,9
1943,10
1944,13
1945,8
1946,11
1947,7
1948,15
1949,5
1950,6
1951,16
1952,7
1953,5
1954,7
1955,0
1956,9
1957,5
1958,5
1959,5
1960,12
1961,5
1962,0
1963,0
1964,0
1965,5
1966,0
1967,0
1968,0
1969,8
1970,0
1971,5
1972,0
1973,0
1974,0
1975,0
1976,0
1977,0
1978,0
1979,0
1980,0
1981,0
1982,0
1983,0
1984,5
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
