year,Delmus
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,9
1908,0
1909,0
1910,0
1911,0
1912,0
1913,5
1914,0
1915,0
1916,6
1917,8
1918,9
1919,10
1920,8
1921,10
1922,13
1923,8
1924,11
1925,7
1926,6
1927,14
1928,10
1929,12
1930,10
1931,11
1932,10
1933,13
1934,16
1935,9
1936,8
1937,15
1938,18
1939,17
1940,7
1941,9
1942,14
1943,9
1944,12
1945,7
1946,12
1947,15
1948,17
1949,11
1950,15
1951,15
1952,9
1953,5
1954,0
1955,10
1956,10
1957,10
1958,7
1959,9
1960,9
1961,8
1962,5
1963,5
1964,6
1965,5
1966,5
1967,5
1968,5
1969,0
1970,9
1971,5
1972,5
1973,7
1974,6
1975,0
1976,0
1977,6
1978,6
1979,8
1980,11
1981,7
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
