year,Dusty (F),Dusty (M)
1880,0.000000,0.000000
1881,0.000000,0.000000
1882,0.000000,0.000000
1883,0.000000,0.000000
1884,0.000000,0.000000
1885,0.000000,0.000000
1886,0.000000,0.000000
1887,0.000000,0.000000
1888,0.000000,0.000000
1889,0.000000,0.000000
1890,0.000000,0.000000
1891,0.000000,0.000000
1892,0.000000,0.000000
1893,0.000000,0.000000
1894,0.000000,0.000000
1895,0.000000,0.000000
1896,0.000000,0.000000
1897,0.000000,0.000000
1898,0.000000,0.000000
1899,0.000000,0.000000
1900,0.000000,0.000000
1901,0.000000,0.000000
1902,0.000000,0.000000
1903,0.000000,0.000000
1904,0.000000,0.000000
1905,0.000000,0.000000
1906,0.000000,0.000000
1907,0.000000,0.000000
1908,0.000000,0.000000
1909,0.000000,0.000000
1910,0.000000,0.000000
1911,0.000000,0.000000
1912,0.000000,0.000000
1913,0.000000,0.000000
1914,0.000000,0.000000
1915,0.000000,0.000000
1916,0.000000,0.000000
1917,0.000000,0.000000
1918,0.000000,0.000000
1919,0.000000,0.000000
1920,0.000000,0.000000
1921,0.000000,0.000000
1922,0.000000,0.000000
1923,0.000000,0.000000
1924,0.000000,0.000000
1925,0.000000,0.000000
1926,0.000000,0.000000
1927,0.000000,0.000002
1928,0.000000,0.000000
1929,0.000000,0.000003
1930,0.000000,0.000000
1931,0.000000,0.000000
1932,0.000000,0.000000
1933,0.000000,0.000000
1934,0.000000,0.000000
1935,0.000000,0.000002
1936,0.000000,0.000000
1937,0.000000,0.000000
1938,0.000000,0.000000
1939,0.000000,0.000000
1940,0.000000,0.000002
1941,0.000000,0.000002
1942,0.000000,0.000000
1943,0.000000,0.000000
1944,0.000002,0.000003
1945,0.000003,0.000002
1946,0.000006,0.000007
1947,0.000005,0.000006
1948,0.000003,0.000008
1949,0.000003,0.000011
1950,0.000004,0.000011
1951,0.000005,0.000011
1952,0.000004,0.000012
1953,0.000005,0.000013
1954,0.000009,0.000023
1955,0.000002,0.000019
1956,0.000005,0.000022
1957,0.000002,0.000021
1958,0.000003,0.000021
1959,0.000004,0.000023
1960,0.000003,0.000022
1961,0.000004,0.000018
1962,0.000003,0.000017
1963,0.000003,0.000016
1964,0.000006,0.000018
1965,0.000006,0.000021
1966,0.000007,0.000018
1967,0.000012,0.000017
1968,0.000011,0.000021
1969,0.000020,0.000033
1970,0.000029,0.000038
1971,0.000032,0.000035
1972,0.000045,0.000043
1973,0.000049,0.000045
1974,0.000044,0.000054
1975,0.000068,0.000049
1976,0.000093,0.000059
1977,0.000076,0.000059
1978,0.000067,0.000071
1979,0.000058,0.000058
1980,0.000084,0.000144
1981,0.000066,0.000174
1982,0.000033,0.000147
1983,0.000037,0.000089
1984,0.000026,0.000095
1985,0.000026,0.000099
1986,0.000019,0.000106
1987,0.000028,0.000112
1988,0.000022,0.000096
1989,0.000015,0.000065
1990,0.000014,0.000063
1991,0.000014,0.000044
1992,0.000008,0.000037
1993,0.000014,0.000055
1994,0.000018,0.000070
1995,0.000016,0.000061
1996,0.000012,0.000053
1997,0.000013,0.000049
1998,0.000014,0.000035
1999,0.000011,0.000035
2000,0.000010,0.000031
2001,0.000007,0.000027
2002,0.000005,0.000027
2003,0.000005,0.000024
2004,0.000006,0.000024
2005,0.000005,0.000027
2006,0.000003,0.000021
2007,0.000005,0.000020
2008,0.000003,0.000017
2009,0.000003,0.000020
2010,0.000004,0.000016
2011,0.000004,0.000009
2012,0.000005,0.000013
