year,Darick
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,0
1949,0
1950,0
1951,0
1952,0
1953,0
1954,0
1955,0
1956,0
1957,10
1958,5
1959,6
1960,7
1961,14
1962,12
1963,12
1964,14
1965,27
1966,26
1967,26
1968,31
1969,29
1970,25
1971,24
1972,27
1973,34
1974,36
1975,27
1976,27
1977,32
1978,47
1979,33
1980,42
1981,31
1982,30
1983,25
1984,26
1985,15
1986,25
1987,34
1988,24
1989,36
1990,23
1991,20
1992,21
1993,24
1994,29
1995,22
1996,18
1997,25
1998,16
1999,18
2000,20
2001,16
2002,13
2003,25
2004,9
2005,13
2006,14
2007,16
2008,6
2009,8
2010,7
2011,7
2012,8
