year,Dewane
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,9
1922,6
1923,8
1924,0
1925,8
1926,0
1927,6
1928,8
1929,6
1930,10
1931,14
1932,18
1933,14
1934,11
1935,8
1936,10
1937,7
1938,7
1939,8
1940,7
1941,8
1942,10
1943,6
1944,6
1945,9
1946,13
1947,15
1948,0
1949,5
1950,6
1951,7
1952,7
1953,10
1954,9
1955,9
1956,0
1957,9
1958,6
1959,0
1960,7
1961,12
1962,12
1963,10
1964,7
1965,12
1966,9
1967,9
1968,10
1969,7
1970,7
1971,8
1972,7
1973,6
1974,11
1975,10
1976,10
1977,5
1978,7
1979,5
1980,10
1981,0
1982,6
1983,0
1984,5
1985,0
1986,0
1987,5
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,6
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
