year,Dionisio
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,5
1914,7
1915,5
1916,8
1917,5
1918,9
1919,7
1920,11
1921,8
1922,0
1923,9
1924,13
1925,14
1926,8
1927,0
1928,16
1929,5
1930,9
1931,11
1932,0
1933,12
1934,7
1935,6
1936,0
1937,8
1938,5
1939,0
1940,8
1941,7
1942,0
1943,5
1944,8
1945,5
1946,0
1947,7
1948,7
1949,6
1950,8
1951,6
1952,6
1953,6
1954,11
1955,15
1956,5
1957,15
1958,10
1959,12
1960,17
1961,10
1962,7
1963,15
1964,16
1965,11
1966,19
1967,16
1968,7
1969,10
1970,16
1971,13
1972,13
1973,14
1974,13
1975,20
1976,18
1977,23
1978,12
1979,13
1980,17
1981,12
1982,11
1983,15
1984,13
1985,10
1986,9
1987,12
1988,9
1989,15
1990,20
1991,16
1992,11
1993,16
1994,16
1995,15
1996,13
1997,21
1998,11
1999,15
2000,14
2001,8
2002,11
2003,17
2004,18
2005,13
2006,23
2007,12
2008,8
2009,9
2010,6
2011,12
2012,12
