year,Dakota (F),Dakota (M)
1880,0.000000,0.000000
1881,0.000000,0.000000
1882,0.000000,0.000000
1883,0.000000,0.000000
1884,0.000000,0.000000
1885,0.000000,0.000000
1886,0.000000,0.000000
1887,0.000000,0.000000
1888,0.000000,0.000000
1889,0.000000,0.000000
1890,0.000000,0.000000
1891,0.000000,0.000000
1892,0.000000,0.000000
1893,0.000000,0.000000
1894,0.000000,0.000000
1895,0.000000,0.000000
1896,0.000000,0.000000
1897,0.000000,0.000000
1898,0.000000,0.000000
1899,0.000000,0.000000
1900,0.000000,0.000000
1901,0.000000,0.000000
1902,0.000000,0.000000
1903,0.000000,0.000000
1904,0.000000,0.000000
1905,0.000000,0.000000
1906,0.000000,0.000000
1907,0.000000,0.000000
1908,0.000000,0.000000
1909,0.000000,0.000000
1910,0.000000,0.000000
1911,0.000000,0.000000
1912,0.000000,0.000000
1913,0.000000,0.000000
1914,0.000000,0.000000
1915,0.000004,0.000000
1916,0.000000,0.000000
1917,0.000000,0.000000
1918,0.000000,0.000000
1919,0.000000,0.000000
1920,0.000000,0.000000
1921,0.000003,0.000000
1922,0.000000,0.000000
1923,0.000000,0.000000
1924,0.000000,0.000000
1925,0.000000,0.000000
1926,0.000000,0.000000
1927,0.000000,0.000000
1928,0.000000,0.000000
1929,0.000000,0.000000
1930,0.000000,0.000000
1931,0.000000,0.000000
1932,0.000000,0.000000
1933,0.000000,0.000000
1934,0.000000,0.000000
1935,0.000000,0.000000
1936,0.000000,0.000000
1937,0.000000,0.000000
1938,0.000000,0.000000
1939,0.000000,0.000000
1940,0.000000,0.000000
1941,0.000000,0.000000
1942,0.000000,0.000000
1943,0.000000,0.000000
1944,0.000000,0.000000
1945,0.000000,0.000000
1946,0.000000,0.000000
1947,0.000000,0.000000
1948,0.000000,0.000000
1949,0.000000,0.000000
1950,0.000000,0.000000
1951,0.000000,0.000000
1952,0.000000,0.000000
1953,0.000000,0.000000
1954,0.000000,0.000000
1955,0.000000,0.000000
1956,0.000000,0.000000
1957,0.000000,0.000000
1958,0.000003,0.000000
1959,0.000005,0.000000
1960,0.000003,0.000000
1961,0.000003,0.000000
1962,0.000002,0.000000
1963,0.000001,0.000000
1964,0.000002,0.000000
1965,0.000002,0.000000
1966,0.000002,0.000001
1967,0.000000,0.000000
1968,0.000000,0.000001
1969,0.000000,0.000000
1970,0.000000,0.000002
1971,0.000002,0.000000
1972,0.000002,0.000004
1973,0.000004,0.000003
1974,0.000003,0.000003
1975,0.000004,0.000005
1976,0.000004,0.000005
1977,0.000004,0.000007
1978,0.000005,0.000017
1979,0.000006,0.000010
1980,0.000007,0.000012
1981,0.000005,0.000008
1982,0.000004,0.000012
1983,0.000004,0.000014
1984,0.000005,0.000017
1985,0.000017,0.000031
1986,0.000020,0.000090
1987,0.000022,0.000119
1988,0.000027,0.000150
1989,0.000042,0.000214
1990,0.000096,0.000392
1991,0.000163,0.000704
1992,0.000196,0.000941
1993,0.000192,0.001171
1994,0.000241,0.001489
1995,0.000307,0.001796
1996,0.000289,0.001664
1997,0.000324,0.001563
1998,0.000338,0.001470
1999,0.000316,0.001379
2000,0.000288,0.001206
2001,0.000252,0.001064
2002,0.000254,0.000933
2003,0.000241,0.000830
2004,0.000309,0.000764
2005,0.000393,0.000707
2006,0.000465,0.000598
2007,0.000372,0.000489
2008,0.000327,0.000416
2009,0.000312,0.000362
2010,0.000310,0.000307
2011,0.000292,0.000280
2012,0.000284,0.000259
2013,0.000298,0.000247
