year,Dain
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,5
1944,0
1945,0
1946,12
1947,5
1948,9
1949,10
1950,7
1951,6
1952,16
1953,5
1954,23
1955,0
1956,10
1957,10
1958,8
1959,9
1960,10
1961,17
1962,11
1963,13
1964,10
1965,13
1966,10
1967,19
1968,27
1969,25
1970,37
1971,31
1972,25
1973,36
1974,20
1975,26
1976,22
1977,24
1978,62
1979,48
1980,30
1981,27
1982,45
1983,43
1984,52
1985,57
1986,59
1987,43
1988,48
1989,51
1990,56
1991,35
1992,30
1993,36
1994,35
1995,32
1996,32
1997,33
1998,30
1999,29
2000,48
2001,46
2002,24
2003,40
2004,37
2005,32
2006,27
2007,29
2008,31
2009,16
2010,25
2011,18
2012,11
