year,Dominic (F),Dominic (M)
1880,0.000000,0.000000
1881,0.000000,0.000000
1882,0.000000,0.000000
1883,0.000000,0.000000
1884,0.000000,0.000000
1885,0.000000,0.000025
1886,0.000000,0.000000
1887,0.000000,0.000020
1888,0.000000,0.000000
1889,0.000000,0.000017
1890,0.000000,0.000023
1891,0.000000,0.000021
1892,0.000000,0.000030
1893,0.000000,0.000000
1894,0.000000,0.000018
1895,0.000000,0.000028
1896,0.000000,0.000039
1897,0.000000,0.000040
1898,0.000000,0.000024
1899,0.000000,0.000027
1900,0.000000,0.000031
1901,0.000000,0.000038
1902,0.000000,0.000062
1903,0.000000,0.000055
1904,0.000000,0.000062
1905,0.000000,0.000068
1906,0.000000,0.000075
1907,0.000000,0.000071
1908,0.000000,0.000100
1909,0.000000,0.000108
1910,0.000000,0.000090
1911,0.000000,0.000188
1912,0.000000,0.000219
1913,0.000000,0.000227
1914,0.000000,0.000256
1915,0.000000,0.000256
1916,0.000000,0.000274
1917,0.000000,0.000252
1918,0.000002,0.000254
1919,0.000000,0.000254
1920,0.000000,0.000237
1921,0.000000,0.000236
1922,0.000000,0.000233
1923,0.000002,0.000253
1924,0.000000,0.000204
1925,0.000000,0.000233
1926,0.000003,0.000202
1927,0.000000,0.000179
1928,0.000000,0.000167
1929,0.000000,0.000181
1930,0.000002,0.000170
1931,0.000000,0.000177
1932,0.000000,0.000152
1933,0.000000,0.000139
1934,0.000000,0.000117
1935,0.000000,0.000138
1936,0.000000,0.000128
1937,0.000000,0.000122
1938,0.000000,0.000105
1939,0.000000,0.000112
1940,0.000000,0.000101
1941,0.000000,0.000105
1942,0.000000,0.000110
1943,0.000000,0.000095
1944,0.000000,0.000088
1945,0.000000,0.000088
1946,0.000000,0.000093
1947,0.000000,0.000079
1948,0.000000,0.000090
1949,0.000000,0.000090
1950,0.000000,0.000086
1951,0.000000,0.000092
1952,0.000000,0.000077
1953,0.000000,0.000092
1954,0.000000,0.000089
1955,0.000000,0.000096
1956,0.000000,0.000095
1957,0.000000,0.000104
1958,0.000000,0.000104
1959,0.000000,0.000105
1960,0.000000,0.000106
1961,0.000000,0.000108
1962,0.000000,0.000107
1963,0.000000,0.000127
1964,0.000002,0.000151
1965,0.000000,0.000138
1966,0.000000,0.000136
1967,0.000003,0.000158
1968,0.000001,0.000162
1969,0.000002,0.000173
1970,0.000003,0.000176
1971,0.000002,0.000170
1972,0.000003,0.000185
1973,0.000004,0.000209
1974,0.000004,0.000212
1975,0.000004,0.000224
1976,0.000007,0.000248
1977,0.000007,0.000331
1978,0.000008,0.000304
1979,0.000009,0.000310
1980,0.000006,0.000296
1981,0.000004,0.000293
1982,0.000005,0.000300
1983,0.000004,0.000305
1984,0.000009,0.000354
1985,0.000019,0.000372
1986,0.000019,0.000384
1987,0.000015,0.000370
1988,0.000011,0.000378
1989,0.000008,0.000383
1990,0.000009,0.000411
1991,0.000011,0.000505
1992,0.000008,0.000635
1993,0.000008,0.000672
1994,0.000009,0.000745
1995,0.000009,0.000685
1996,0.000009,0.000732
1997,0.000008,0.000808
1998,0.000007,0.000843
1999,0.000005,0.000839
2000,0.000004,0.000859
2001,0.000007,0.000971
2002,0.000006,0.001299
2003,0.000006,0.001373
2004,0.000007,0.001278
2005,0.000005,0.001299
2006,0.000006,0.001410
2007,0.000005,0.001356
2008,0.000005,0.001263
2009,0.000004,0.001396
2010,0.000004,0.001434
2011,0.000004,0.001487
2012,0.000002,0.001694
