year,Dewitt (F),Dewitt (M)
1880,0.000000,0.000149
1881,0.000000,0.000125
1882,0.000000,0.000077
1883,0.000000,0.000097
1884,0.000000,0.000082
1885,0.000000,0.000079
1886,0.000000,0.000137
1887,0.000000,0.000125
1888,0.000000,0.000107
1889,0.000000,0.000118
1890,0.000000,0.000100
1891,0.000000,0.000108
1892,0.000000,0.000126
1893,0.000000,0.000141
1894,0.000000,0.000100
1895,0.000000,0.000114
1896,0.000000,0.000087
1897,0.000000,0.000086
1898,0.000000,0.000115
1899,0.000000,0.000068
1900,0.000000,0.000082
1901,0.000000,0.000078
1902,0.000000,0.000085
1903,0.000000,0.000071
1904,0.000000,0.000077
1905,0.000000,0.000090
1906,0.000000,0.000077
1907,0.000000,0.000045
1908,0.000000,0.000051
1909,0.000000,0.000072
1910,0.000000,0.000074
1911,0.000000,0.000057
1912,0.000000,0.000078
1913,0.000000,0.000070
1914,0.000000,0.000065
1915,0.000000,0.000067
1916,0.000000,0.000072
1917,0.000000,0.000066
1918,0.000000,0.000074
1919,0.000000,0.000071
1920,0.000000,0.000067
1921,0.000000,0.000069
1922,0.000000,0.000069
1923,0.000000,0.000069
1924,0.000000,0.000063
1925,0.000000,0.000062
1926,0.000000,0.000053
1927,0.000000,0.000059
1928,0.000000,0.000047
1929,0.000000,0.000051
1930,0.000000,0.000057
1931,0.000000,0.000047
1932,0.000000,0.000057
1933,0.000000,0.000041
1934,0.000000,0.000039
1935,0.000000,0.000037
1936,0.000000,0.000047
1937,0.000000,0.000047
1938,0.000000,0.000034
1939,0.000000,0.000038
1940,0.000000,0.000034
1941,0.000000,0.000033
1942,0.000000,0.000031
1943,0.000000,0.000033
1944,0.000000,0.000032
1945,0.000000,0.000026
1946,0.000000,0.000027
1947,0.000000,0.000023
1948,0.000000,0.000024
1949,0.000000,0.000027
1950,0.000000,0.000022
1951,0.000000,0.000022
1952,0.000000,0.000020
1953,0.000000,0.000020
1954,0.000000,0.000018
1955,0.000000,0.000017
1956,0.000000,0.000019
1957,0.000000,0.000016
1958,0.000000,0.000016
1959,0.000000,0.000013
1960,0.000000,0.000014
1961,0.000000,0.000013
1962,0.000000,0.000015
1963,0.000000,0.000014
1964,0.000000,0.000017
1965,0.000000,0.000010
1966,0.000000,0.000011
1967,0.000000,0.000011
1968,0.000000,0.000013
1969,0.000000,0.000008
1970,0.000000,0.000009
1971,0.000000,0.000010
1972,0.000000,0.000012
1973,0.000000,0.000010
1974,0.000000,0.000008
1975,0.000000,0.000009
1976,0.000000,0.000006
1977,0.000000,0.000008
1978,0.000000,0.000008
1979,0.000000,0.000010
1980,0.000000,0.000009
1981,0.000000,0.000005
1982,0.000000,0.000006
1983,0.000000,0.000007
1984,0.000000,0.000007
1985,0.000000,0.000006
1986,0.000000,0.000005
1987,0.000000,0.000008
1988,0.000000,0.000005
1989,0.000000,0.000007
1990,0.000000,0.000005
1991,0.000000,0.000005
1992,0.000000,0.000007
1993,0.000000,0.000006
1994,0.000000,0.000000
1995,0.000000,0.000004
1996,0.000000,0.000003
1997,0.000000,0.000004
1998,0.000000,0.000003
1999,0.000000,0.000003
2000,0.000000,0.000002
2001,0.000000,0.000004
2002,0.000000,0.000003
2003,0.000000,0.000002
2004,0.000000,0.000003
2005,0.000000,0.000002
2006,0.000000,0.000002
2007,0.000000,0.000003
2008,0.000000,0.000003
2009,0.000000,0.000002
2010,0.000000,0.000003
2011,0.000000,0.000002
2012,0.000000,0.000001
