year,Deloise
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,6
1917,7
1918,6
1919,9
1920,7
1921,12
1922,8
1923,6
1924,13
1925,10
1926,19
1927,13
1928,17
1929,15
1930,14
1931,23
1932,24
1933,16
1934,27
1935,26
1936,26
1937,31
1938,33
1939,34
1940,46
1941,47
1942,41
1943,37
1944,47
1945,42
1946,59
1947,58
1948,64
1949,61
1950,54
1951,71
1952,63
1953,86
1954,55
1955,79
1956,54
1957,47
1958,58
1959,52
1960,47
1961,51
1962,30
1963,35
1964,35
1965,25
1966,13
1967,24
1968,20
1969,8
1970,18
1971,17
1972,13
1973,9
1974,0
1975,5
1976,6
1977,0
1978,0
1979,8
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
