year,Donnell (F),Donnell (M)
1880,0.000000,0.000000
1881,0.000000,0.000000
1882,0.000000,0.000000
1883,0.000000,0.000000
1884,0.000000,0.000000
1885,0.000000,0.000000
1886,0.000000,0.000000
1887,0.000000,0.000000
1888,0.000000,0.000000
1889,0.000000,0.000000
1890,0.000000,0.000000
1891,0.000000,0.000000
1892,0.000000,0.000000
1893,0.000000,0.000000
1894,0.000000,0.000000
1895,0.000000,0.000000
1896,0.000000,0.000000
1897,0.000000,0.000000
1898,0.000000,0.000000
1899,0.000000,0.000000
1900,0.000000,0.000000
1901,0.000000,0.000000
1902,0.000000,0.000000
1903,0.000000,0.000000
1904,0.000000,0.000000
1905,0.000000,0.000000
1906,0.000000,0.000000
1907,0.000000,0.000000
1908,0.000000,0.000000
1909,0.000000,0.000000
1910,0.000000,0.000000
1911,0.000000,0.000000
1912,0.000000,0.000007
1913,0.000000,0.000009
1914,0.000000,0.000008
1915,0.000000,0.000008
1916,0.000000,0.000004
1917,0.000000,0.000011
1918,0.000000,0.000007
1919,0.000000,0.000007
1920,0.000000,0.000007
1921,0.000000,0.000012
1922,0.000000,0.000007
1923,0.000000,0.000010
1924,0.000000,0.000009
1925,0.000000,0.000009
1926,0.000000,0.000014
1927,0.000002,0.000010
1928,0.000002,0.000014
1929,0.000000,0.000014
1930,0.000000,0.000018
1931,0.000004,0.000017
1932,0.000002,0.000017
1933,0.000003,0.000012
1934,0.000003,0.000019
1935,0.000003,0.000018
1936,0.000004,0.000019
1937,0.000003,0.000017
1938,0.000002,0.000015
1939,0.000000,0.000016
1940,0.000003,0.000018
1941,0.000004,0.000023
1942,0.000003,0.000020
1943,0.000002,0.000015
1944,0.000003,0.000019
1945,0.000004,0.000019
1946,0.000003,0.000019
1947,0.000003,0.000021
1948,0.000006,0.000024
1949,0.000003,0.000026
1950,0.000003,0.000041
1951,0.000002,0.000037
1952,0.000002,0.000040
1953,0.000004,0.000042
1954,0.000005,0.000037
1955,0.000006,0.000042
1956,0.000004,0.000051
1957,0.000006,0.000045
1958,0.000007,0.000052
1959,0.000005,0.000050
1960,0.000006,0.000054
1961,0.000009,0.000050
1962,0.000006,0.000065
1963,0.000008,0.000054
1964,0.000008,0.000062
1965,0.000006,0.000059
1966,0.000007,0.000063
1967,0.000006,0.000072
1968,0.000009,0.000073
1969,0.000014,0.000074
1970,0.000010,0.000075
1971,0.000010,0.000078
1972,0.000009,0.000076
1973,0.000010,0.000085
1974,0.000007,0.000086
1975,0.000008,0.000089
1976,0.000005,0.000084
1977,0.000007,0.000071
1978,0.000006,0.000065
1979,0.000005,0.000075
1980,0.000004,0.000079
1981,0.000005,0.000075
1982,0.000004,0.000082
1983,0.000004,0.000063
1984,0.000005,0.000074
1985,0.000003,0.000061
1986,0.000003,0.000058
1987,0.000002,0.000061
1988,0.000000,0.000065
1989,0.000002,0.000065
1990,0.000002,0.000061
1991,0.000001,0.000053
1992,0.000000,0.000053
1993,0.000001,0.000052
1994,0.000000,0.000053
1995,0.000000,0.000047
1996,0.000000,0.000045
1997,0.000000,0.000044
1998,0.000000,0.000036
1999,0.000000,0.000037
2000,0.000000,0.000039
2001,0.000000,0.000041
2002,0.000000,0.000033
2003,0.000000,0.000028
2004,0.000000,0.000035
2005,0.000000,0.000029
2006,0.000001,0.000035
2007,0.000000,0.000034
2008,0.000000,0.000032
2009,0.000000,0.000021
2010,0.000000,0.000028
2011,0.000000,0.000021
2012,0.000000,0.000024
2013,0.000000,0.000023
