year,Dolphus
1880,8
1881,5
1882,8
1883,9
1884,10
1885,14
1886,7
1887,6
1888,6
1889,10
1890,0
1891,8
1892,0
1893,5
1894,9
1895,0
1896,10
1897,0
1898,0
1899,5
1900,6
1901,7
1902,8
1903,0
1904,6
1905,0
1906,5
1907,0
1908,10
1909,10
1910,7
1911,5
1912,14
1913,15
1914,10
1915,26
1916,28
1917,33
1918,30
1919,25
1920,25
1921,32
1922,29
1923,31
1924,24
1925,23
1926,29
1927,21
1928,15
1929,22
1930,37
1931,23
1932,20
1933,12
1934,25
1935,18
1936,28
1937,12
1938,16
1939,17
1940,14
1941,15
1942,16
1943,19
1944,23
1945,16
1946,12
1947,13
1948,20
1949,18
1950,16
1951,23
1952,15
1953,16
1954,14
1955,10
1956,15
1957,12
1958,10
1959,16
1960,12
1961,10
1962,8
1963,15
1964,6
1965,0
1966,9
1967,0
1968,0
1969,8
1970,9
1971,6
1972,7
1973,5
1974,0
1975,7
1976,0
1977,0
1978,6
1979,0
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
