year,Donavon
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,7
1916,8
1917,9
1918,10
1919,7
1920,10
1921,17
1922,17
1923,17
1924,17
1925,13
1926,11
1927,25
1928,20
1929,31
1930,35
1931,33
1932,23
1933,27
1934,28
1935,33
1936,37
1937,29
1938,36
1939,19
1940,36
1941,22
1942,20
1943,12
1944,33
1945,14
1946,13
1947,30
1948,35
1949,28
1950,25
1951,16
1952,12
1953,16
1954,17
1955,20
1956,28
1957,17
1958,18
1959,29
1960,24
1961,29
1962,23
1963,23
1964,18
1965,22
1966,39
1967,34
1968,38
1969,57
1970,49
1971,79
1972,68
1973,59
1974,49
1975,37
1976,43
1977,57
1978,44
1979,42
1980,56
1981,41
1982,32
1983,34
1984,36
1985,54
1986,56
1987,67
1988,109
1989,85
1990,94
1991,108
1992,118
1993,124
1994,114
1995,105
1996,119
1997,132
1998,128
1999,146
2000,156
2001,147
2002,149
2003,144
2004,120
2005,123
2006,117
2007,117
2008,104
2009,92
2010,72
2011,57
2012,45
