year,Davina
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,5
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,5
1928,0
1929,7
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,6
1941,5
1942,0
1943,9
1944,8
1945,5
1946,7
1947,0
1948,12
1949,11
1950,14
1951,16
1952,16
1953,15
1954,6
1955,18
1956,21
1957,16
1958,19
1959,15
1960,14
1961,21
1962,29
1963,46
1964,45
1965,66
1966,65
1967,88
1968,156
1969,138
1970,155
1971,183
1972,177
1973,176
1974,178
1975,181
1976,187
1977,178
1978,183
1979,201
1980,176
1981,176
1982,148
1983,150
1984,148
1985,100
1986,142
1987,163
1988,159
1989,126
1990,147
1991,125
1992,143
1993,119
1994,99
1995,89
1996,121
1997,115
1998,123
1999,126
2000,96
2001,104
2002,96
2003,96
2004,80
2005,72
2006,88
2007,101
2008,104
2009,116
2010,112
2011,124
2012,107
