year,Donalee
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,7
1924,0
1925,7
1926,0
1927,0
1928,0
1929,8
1930,0
1931,6
1932,8
1933,16
1934,9
1935,9
1936,12
1937,8
1938,11
1939,12
1940,10
1941,8
1942,7
1943,9
1944,6
1945,14
1946,6
1947,6
1948,7
1949,14
1950,10
1951,7
1952,6
1953,10
1954,8
1955,11
1956,14
1957,11
1958,11
1959,17
1960,10
1961,9
1962,12
1963,8
1964,5
1965,6
1966,5
1967,11
1968,9
1969,5
1970,5
1971,8
1972,8
1973,0
1974,0
1975,0
1976,0
1977,0
1978,0
1979,0
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
