year,Delora
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,6
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,5
1895,0
1896,0
1897,5
1898,5
1899,0
1900,0
1901,6
1902,5
1903,0
1904,6
1905,12
1906,13
1907,5
1908,5
1909,8
1910,7
1911,8
1912,10
1913,17
1914,22
1915,27
1916,38
1917,56
1918,35
1919,47
1920,33
1921,43
1922,43
1923,43
1924,43
1925,40
1926,44
1927,39
1928,42
1929,56
1930,52
1931,45
1932,45
1933,43
1934,49
1935,51
1936,49
1937,34
1938,40
1939,41
1940,30
1941,39
1942,32
1943,30
1944,35
1945,21
1946,32
1947,50
1948,38
1949,44
1950,42
1951,46
1952,41
1953,34
1954,36
1955,42
1956,50
1957,33
1958,39
1959,42
1960,45
1961,46
1962,31
1963,31
1964,47
1965,42
1966,29
1967,25
1968,23
1969,31
1970,37
1971,27
1972,35
1973,20
1974,18
1975,31
1976,22
1977,21
1978,10
1979,22
1980,15
1981,24
1982,12
1983,16
1984,15
1985,6
1986,11
1987,7
1988,12
1989,13
1990,19
1991,9
1992,10
1993,7
1994,6
1995,5
1996,13
1997,5
1998,0
1999,0
2000,6
2001,9
2002,0
2003,0
2004,0
2005,0
2006,0
2007,6
2008,0
2009,0
2010,0
2011,0
2012,8
