year,Dewanda
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,5
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,6
1943,0
1944,0
1945,8
1946,0
1947,6
1948,0
1949,6
1950,11
1951,7
1952,5
1953,0
1954,5
1955,11
1956,9
1957,14
1958,13
1959,14
1960,12
1961,18
1962,27
1963,22
1964,17
1965,32
1966,25
1967,22
1968,30
1969,24
1970,22
1971,22
1972,29
1973,23
1974,21
1975,21
1976,21
1977,23
1978,20
1979,20
1980,17
1981,11
1982,10
1983,15
1984,7
1985,8
1986,6
1987,11
1988,11
1989,6
1990,10
1991,0
1992,5
1993,0
1994,6
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
