year,Darius (F),Darius (M)
1880,0.000000,0.000050
1881,0.000000,0.000000
1882,0.000000,0.000027
1883,0.000000,0.000000
1884,0.000000,0.000000
1885,0.000000,0.000000
1886,0.000000,0.000023
1887,0.000000,0.000000
1888,0.000000,0.000000
1889,0.000000,0.000000
1890,0.000000,0.000000
1891,0.000000,0.000000
1892,0.000000,0.000015
1893,0.000000,0.000000
1894,0.000000,0.000015
1895,0.000000,0.000000
1896,0.000000,0.000000
1897,0.000000,0.000000
1898,0.000000,0.000000
1899,0.000000,0.000000
1900,0.000000,0.000000
1901,0.000000,0.000000
1902,0.000000,0.000000
1903,0.000000,0.000000
1904,0.000000,0.000000
1905,0.000000,0.000000
1906,0.000000,0.000000
1907,0.000000,0.000000
1908,0.000000,0.000000
1909,0.000000,0.000000
1910,0.000000,0.000012
1911,0.000000,0.000000
1912,0.000000,0.000009
1913,0.000000,0.000008
1914,0.000000,0.000008
1915,0.000000,0.000007
1916,0.000000,0.000008
1917,0.000000,0.000013
1918,0.000000,0.000008
1919,0.000000,0.000008
1920,0.000000,0.000007
1921,0.000000,0.000007
1922,0.000000,0.000009
1923,0.000000,0.000007
1924,0.000000,0.000009
1925,0.000000,0.000007
1926,0.000000,0.000009
1927,0.000000,0.000011
1928,0.000000,0.000006
1929,0.000000,0.000006
1930,0.000000,0.000009
1931,0.000000,0.000008
1932,0.000000,0.000007
1933,0.000000,0.000007
1934,0.000000,0.000009
1935,0.000000,0.000007
1936,0.000000,0.000008
1937,0.000000,0.000009
1938,0.000000,0.000005
1939,0.000000,0.000011
1940,0.000000,0.000009
1941,0.000000,0.000009
1942,0.000000,0.000007
1943,0.000000,0.000007
1944,0.000000,0.000009
1945,0.000000,0.000006
1946,0.000000,0.000012
1947,0.000000,0.000009
1948,0.000000,0.000008
1949,0.000000,0.000008
1950,0.000000,0.000010
1951,0.000000,0.000011
1952,0.000000,0.000015
1953,0.000000,0.000012
1954,0.000000,0.000015
1955,0.000000,0.000017
1956,0.000000,0.000013
1957,0.000000,0.000018
1958,0.000000,0.000019
1959,0.000000,0.000017
1960,0.000000,0.000020
1961,0.000000,0.000024
1962,0.000000,0.000027
1963,0.000000,0.000032
1964,0.000000,0.000032
1965,0.000001,0.000034
1966,0.000000,0.000036
1967,0.000000,0.000049
1968,0.000000,0.000051
1969,0.000000,0.000063
1970,0.000002,0.000073
1971,0.000002,0.000075
1972,0.000000,0.000093
1973,0.000000,0.000094
1974,0.000000,0.000098
1975,0.000002,0.000101
1976,0.000000,0.000090
1977,0.000003,0.000113
1978,0.000000,0.000111
1979,0.000002,0.000139
1980,0.000003,0.000144
1981,0.000002,0.000140
1982,0.000000,0.000141
1983,0.000002,0.000141
1984,0.000002,0.000172
1985,0.000002,0.000171
1986,0.000003,0.000183
1987,0.000004,0.000250
1988,0.000003,0.000257
1989,0.000005,0.000391
1990,0.000003,0.000514
1991,0.000002,0.000544
1992,0.000003,0.000501
1993,0.000003,0.000526
1994,0.000004,0.000587
1995,0.000004,0.000528
1996,0.000004,0.000485
1997,0.000004,0.000521
1998,0.000002,0.000580
1999,0.000000,0.000461
2000,0.000002,0.000414
2001,0.000002,0.000419
2002,0.000001,0.000380
2003,0.000000,0.000339
2004,0.000002,0.000292
2005,0.000001,0.000295
2006,0.000000,0.000314
2007,0.000002,0.000272
2008,0.000000,0.000267
2009,0.000000,0.000250
2010,0.000000,0.000250
2011,0.000000,0.000209
2012,0.000000,0.000199
2013,0.000000,0.000197
