year,Dodie
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,5
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,5
1934,0
1935,0
1936,0
1937,5
1938,0
1939,0
1940,0
1941,6
1942,6
1943,0
1944,9
1945,0
1946,7
1947,13
1948,11
1949,6
1950,14
1951,10
1952,7
1953,14
1954,19
1955,22
1956,17
1957,36
1958,44
1959,43
1960,52
1961,69
1962,53
1963,79
1964,50
1965,49
1966,31
1967,31
1968,24
1969,26
1970,79
1971,89
1972,70
1973,52
1974,36
1975,24
1976,18
1977,24
1978,25
1979,17
1980,16
1981,13
1982,13
1983,9
1984,0
1985,5
1986,0
1987,5
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
