year,Devon (F),Devon (M)
1880,0.000000,0.000000
1881,0.000000,0.000000
1882,0.000000,0.000000
1883,0.000000,0.000000
1884,0.000000,0.000000
1885,0.000000,0.000000
1886,0.000000,0.000000
1887,0.000000,0.000000
1888,0.000000,0.000000
1889,0.000000,0.000000
1890,0.000000,0.000000
1891,0.000000,0.000000
1892,0.000000,0.000000
1893,0.000000,0.000000
1894,0.000000,0.000000
1895,0.000000,0.000000
1896,0.000000,0.000000
1897,0.000000,0.000000
1898,0.000000,0.000000
1899,0.000000,0.000000
1900,0.000000,0.000000
1901,0.000000,0.000000
1902,0.000000,0.000000
1903,0.000000,0.000000
1904,0.000000,0.000000
1905,0.000000,0.000000
1906,0.000000,0.000000
1907,0.000000,0.000000
1908,0.000000,0.000000
1909,0.000000,0.000000
1910,0.000000,0.000000
1911,0.000000,0.000000
1912,0.000000,0.000000
1913,0.000000,0.000000
1914,0.000000,0.000007
1915,0.000000,0.000004
1916,0.000000,0.000007
1917,0.000000,0.000007
1918,0.000000,0.000008
1919,0.000000,0.000011
1920,0.000000,0.000011
1921,0.000000,0.000009
1922,0.000000,0.000009
1923,0.000000,0.000010
1924,0.000000,0.000008
1925,0.000000,0.000011
1926,0.000002,0.000015
1927,0.000000,0.000013
1928,0.000000,0.000011
1929,0.000000,0.000015
1930,0.000000,0.000016
1931,0.000003,0.000017
1932,0.000002,0.000016
1933,0.000000,0.000014
1934,0.000000,0.000014
1935,0.000002,0.000019
1936,0.000000,0.000016
1937,0.000003,0.000016
1938,0.000000,0.000017
1939,0.000000,0.000012
1940,0.000000,0.000015
1941,0.000002,0.000014
1942,0.000003,0.000010
1943,0.000000,0.000012
1944,0.000005,0.000012
1945,0.000008,0.000012
1946,0.000003,0.000010
1947,0.000005,0.000008
1948,0.000009,0.000009
1949,0.000007,0.000009
1950,0.000011,0.000012
1951,0.000011,0.000010
1952,0.000008,0.000013
1953,0.000015,0.000011
1954,0.000010,0.000014
1955,0.000011,0.000014
1956,0.000009,0.000012
1957,0.000010,0.000010
1958,0.000009,0.000011
1959,0.000009,0.000013
1960,0.000009,0.000015
1961,0.000013,0.000016
1962,0.000010,0.000020
1963,0.000022,0.000026
1964,0.000016,0.000030
1965,0.000020,0.000029
1966,0.000022,0.000035
1967,0.000020,0.000044
1968,0.000025,0.000048
1969,0.000024,0.000049
1970,0.000027,0.000056
1971,0.000029,0.000056
1972,0.000031,0.000063
1973,0.000027,0.000089
1974,0.000031,0.000116
1975,0.000036,0.000104
1976,0.000041,0.000100
1977,0.000104,0.000139
1978,0.000239,0.000132
1979,0.000227,0.000123
1980,0.000209,0.000127
1981,0.000159,0.000111
1982,0.000143,0.000131
1983,0.000167,0.000217
1984,0.000146,0.000244
1985,0.000113,0.000273
1986,0.000122,0.000296
1987,0.000116,0.000331
1988,0.000120,0.000390
1989,0.000163,0.000447
1990,0.000252,0.000521
1991,0.000310,0.000635
1992,0.000239,0.000722
1993,0.000243,0.000723
1994,0.000189,0.000816
1995,0.000242,0.000850
1996,0.000178,0.000797
1997,0.000161,0.000880
1998,0.000137,0.000856
1999,0.000121,0.000812
2000,0.000098,0.000786
2001,0.000079,0.000728
2002,0.000075,0.000641
2003,0.000085,0.000665
2004,0.000076,0.000609
2005,0.000067,0.000546
2006,0.000048,0.000501
2007,0.000047,0.000465
2008,0.000037,0.000384
2009,0.000031,0.000323
2010,0.000030,0.000278
2011,0.000029,0.000234
2012,0.000025,0.000202
2013,0.000023,0.000177
2014,0.000022,0.000142
2015,0.000021,0.000140
2016,0.000017,0.000134
2017,0.000019,0.000117
2018,0.000017,0.000108
2019,0.000015,0.000099
2020,0.000015,0.000115
