year,Dortha
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,5
1890,0
1891,0
1892,11
1893,0
1894,9
1895,7
1896,5
1897,12
1898,5
1899,9
1900,15
1901,19
1902,20
1903,20
1904,32
1905,22
1906,29
1907,50
1908,42
1909,33
1910,37
1911,49
1912,97
1913,94
1914,105
1915,148
1916,157
1917,205
1918,186
1919,219
1920,248
1921,295
1922,238
1923,276
1924,276
1925,293
1926,263
1927,222
1928,177
1929,212
1930,203
1931,181
1932,165
1933,151
1934,154
1935,139
1936,130
1937,120
1938,103
1939,110
1940,85
1941,85
1942,71
1943,87
1944,69
1945,69
1946,59
1947,66
1948,44
1949,47
1950,45
1951,34
1952,34
1953,41
1954,33
1955,37
1956,23
1957,28
1958,26
1959,24
1960,22
1961,30
1962,22
1963,14
1964,19
1965,8
1966,9
1967,11
1968,5
1969,9
1970,5
1971,0
1972,9
1973,5
1974,0
1975,5
1976,6
1977,0
1978,5
1979,0
1980,7
1981,0
1982,5
1983,5
1984,5
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
