year,Dayla
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,0
1949,0
1950,6
1951,8
1952,0
1953,5
1954,0
1955,0
1956,5
1957,6
1958,0
1959,7
1960,10
1961,10
1962,9
1963,8
1964,10
1965,6
1966,8
1967,8
1968,5
1969,10
1970,14
1971,15
1972,11
1973,15
1974,18
1975,15
1976,13
1977,16
1978,12
1979,15
1980,14
1981,13
1982,11
1983,12
1984,9
1985,11
1986,9
1987,12
1988,23
1989,20
1990,20
1991,24
1992,19
1993,19
1994,21
1995,19
1996,23
1997,30
1998,25
1999,30
2000,55
2001,35
2002,53
2003,45
2004,53
2005,52
2006,58
2007,52
2008,57
2009,55
2010,63
2011,43
2012,69
