year,Dane (F),Dane (M)
1880,0.000000,0.000000
1881,0.000000,0.000000
1882,0.000000,0.000000
1883,0.000000,0.000000
1884,0.000000,0.000000
1885,0.000000,0.000000
1886,0.000000,0.000000
1887,0.000000,0.000000
1888,0.000000,0.000000
1889,0.000000,0.000000
1890,0.000000,0.000000
1891,0.000000,0.000000
1892,0.000000,0.000000
1893,0.000000,0.000000
1894,0.000000,0.000000
1895,0.000000,0.000000
1896,0.000000,0.000000
1897,0.000000,0.000000
1898,0.000000,0.000013
1899,0.000000,0.000000
1900,0.000000,0.000000
1901,0.000000,0.000000
1902,0.000000,0.000000
1903,0.000000,0.000000
1904,0.000000,0.000000
1905,0.000000,0.000000
1906,0.000000,0.000000
1907,0.000000,0.000000
1908,0.000000,0.000012
1909,0.000000,0.000000
1910,0.000000,0.000000
1911,0.000000,0.000000
1912,0.000000,0.000006
1913,0.000000,0.000006
1914,0.000000,0.000008
1915,0.000000,0.000003
1916,0.000000,0.000004
1917,0.000000,0.000004
1918,0.000000,0.000008
1919,0.000000,0.000005
1920,0.000000,0.000007
1921,0.000000,0.000012
1922,0.000000,0.000007
1923,0.000000,0.000005
1924,0.000000,0.000009
1925,0.000000,0.000015
1926,0.000000,0.000010
1927,0.000000,0.000010
1928,0.000000,0.000007
1929,0.000000,0.000005
1930,0.000000,0.000009
1931,0.000000,0.000004
1932,0.000000,0.000011
1933,0.000000,0.000009
1934,0.000000,0.000013
1935,0.000000,0.000010
1936,0.000000,0.000011
1937,0.000000,0.000009
1938,0.000000,0.000007
1939,0.000000,0.000006
1940,0.000000,0.000013
1941,0.000000,0.000009
1942,0.000000,0.000006
1943,0.000000,0.000010
1944,0.000000,0.000011
1945,0.000000,0.000026
1946,0.000002,0.000044
1947,0.000000,0.000049
1948,0.000000,0.000042
1949,0.000000,0.000045
1950,0.000002,0.000043
1951,0.000000,0.000044
1952,0.000000,0.000050
1953,0.000002,0.000046
1954,0.000000,0.000071
1955,0.000002,0.000055
1956,0.000000,0.000071
1957,0.000000,0.000084
1958,0.000001,0.000069
1959,0.000000,0.000086
1960,0.000001,0.000070
1961,0.000001,0.000072
1962,0.000002,0.000069
1963,0.000000,0.000080
1964,0.000002,0.000088
1965,0.000001,0.000060
1966,0.000001,0.000051
1967,0.000002,0.000065
1968,0.000000,0.000075
1969,0.000002,0.000071
1970,0.000002,0.000065
1971,0.000003,0.000060
1972,0.000000,0.000065
1973,0.000000,0.000069
1974,0.000000,0.000057
1975,0.000003,0.000053
1976,0.000004,0.000051
1977,0.000000,0.000053
1978,0.000003,0.000082
1979,0.000003,0.000101
1980,0.000001,0.000094
1981,0.000002,0.000097
1982,0.000004,0.000114
1983,0.000001,0.000240
1984,0.000003,0.000182
1985,0.000004,0.000281
1986,0.000003,0.000300
1987,0.000005,0.000210
1988,0.000004,0.000206
1989,0.000002,0.000178
1990,0.000001,0.000187
1991,0.000002,0.000149
1992,0.000004,0.000144
1993,0.000003,0.000137
1994,0.000002,0.000140
1995,0.000002,0.000141
1996,0.000002,0.000142
1997,0.000003,0.000139
1998,0.000000,0.000124
1999,0.000000,0.000148
2000,0.000002,0.000154
2001,0.000000,0.000147
2002,0.000003,0.000143
2003,0.000001,0.000151
2004,0.000000,0.000141
2005,0.000000,0.000146
2006,0.000002,0.000193
2007,0.000002,0.000238
2008,0.000002,0.000234
2009,0.000002,0.000214
2010,0.000000,0.000185
2011,0.000000,0.000157
2012,0.000000,0.000156
