year,Dawayne
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,5
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,7
1937,0
1938,6
1939,5
1940,0
1941,0
1942,0
1943,6
1944,5
1945,0
1946,6
1947,7
1948,5
1949,5
1950,6
1951,5
1952,7
1953,6
1954,21
1955,7
1956,8
1957,9
1958,9
1959,14
1960,17
1961,16
1962,17
1963,15
1964,19
1965,21
1966,26
1967,27
1968,17
1969,29
1970,32
1971,40
1972,36
1973,32
1974,27
1975,30
1976,39
1977,45
1978,40
1979,34
1980,32
1981,38
1982,34
1983,33
1984,35
1985,20
1986,22
1987,25
1988,35
1989,26
1990,29
1991,34
1992,41
1993,22
1994,28
1995,19
1996,35
1997,22
1998,14
1999,18
2000,19
2001,22
2002,19
2003,24
2004,23
2005,17
2006,28
2007,31
2008,25
2009,24
2010,23
2011,25
2012,22
