year,Demarcus
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,0
1949,0
1950,0
1951,0
1952,0
1953,0
1954,0
1955,0
1956,5
1957,0
1958,0
1959,0
1960,0
1961,0
1962,0
1963,0
1964,5
1965,0
1966,5
1967,7
1968,10
1969,10
1970,18
1971,37
1972,43
1973,56
1974,75
1975,92
1976,109
1977,143
1978,159
1979,177
1980,224
1981,211
1982,251
1983,276
1984,263
1985,361
1986,384
1987,375
1988,437
1989,461
1990,498
1991,511
1992,460
1993,456
1994,488
1995,428
1996,402
1997,366
1998,338
1999,302
2000,302
2001,253
2002,254
2003,239
2004,234
2005,263
2006,291
2007,288
2008,325
2009,267
2010,259
2011,222
2012,215
