year,Daneen
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,15
1936,14
1937,12
1938,7
1939,0
1940,7
1941,9
1942,6
1943,10
1944,0
1945,0
1946,7
1947,11
1948,0
1949,7
1950,9
1951,10
1952,12
1953,11
1954,7
1955,5
1956,18
1957,16
1958,16
1959,25
1960,17
1961,26
1962,27
1963,29
1964,132
1965,85
1966,70
1967,62
1968,60
1969,61
1970,33
1971,43
1972,30
1973,26
1974,30
1975,24
1976,25
1977,13
1978,20
1979,17
1980,13
1981,23
1982,11
1983,9
1984,14
1985,12
1986,9
1987,10
1988,11
1989,11
1990,12
1991,11
1992,10
1993,0
1994,9
1995,0
1996,0
1997,6
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,6
2009,7
2010,9
2011,9
2012,10
