year,Deanne
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,6
1920,0
1921,0
1922,8
1923,0
1924,8
1925,5
1926,5
1927,0
1928,7
1929,9
1930,8
1931,9
1932,14
1933,16
1934,13
1935,12
1936,22
1937,230
1938,231
1939,169
1940,183
1941,139
1942,169
1943,168
1944,136
1945,151
1946,140
1947,150
1948,134
1949,135
1950,151
1951,150
1952,155
1953,141
1954,209
1955,196
1956,218
1957,240
1958,287
1959,330
1960,428
1961,516
1962,599
1963,525
1964,574
1965,575
1966,529
1967,561
1968,584
1969,583
1970,603
1971,432
1972,368
1973,311
1974,267
1975,217
1976,193
1977,203
1978,157
1979,184
1980,177
1981,179
1982,155
1983,160
1984,119
1985,130
1986,130
1987,83
1988,95
1989,94
1990,83
1991,78
1992,58
1993,71
1994,66
1995,47
1996,37
1997,39
1998,32
1999,25
2000,34
2001,25
2002,17
2003,21
2004,14
2005,12
2006,14
2007,10
2008,11
2009,11
2010,8
2011,10
2012,15
