year,Dorathy
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,8
1896,0
1897,0
1898,0
1899,0
1900,0
1901,6
1902,6
1903,6
1904,11
1905,6
1906,9
1907,5
1908,13
1909,12
1910,8
1911,17
1912,29
1913,33
1914,36
1915,53
1916,57
1917,61
1918,79
1919,64
1920,63
1921,81
1922,69
1923,57
1924,74
1925,64
1926,45
1927,59
1928,65
1929,49
1930,39
1931,41
1932,30
1933,42
1934,36
1935,28
1936,31
1937,30
1938,24
1939,17
1940,25
1941,19
1942,22
1943,26
1944,28
1945,24
1946,25
1947,13
1948,18
1949,13
1950,29
1951,16
1952,21
1953,16
1954,12
1955,6
1956,13
1957,13
1958,12
1959,11
1960,11
1961,7
1962,12
1963,5
1964,10
1965,6
1966,12
1967,7
1968,6
1969,9
1970,0
1971,7
1972,0
1973,0
1974,0
1975,0
1976,0
1977,6
1978,5
1979,0
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
