year,Deeanna
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,7
1939,0
1940,5
1941,5
1942,10
1943,0
1944,0
1945,13
1946,0
1947,13
1948,6
1949,7
1950,10
1951,8
1952,8
1953,13
1954,14
1955,16
1956,16
1957,14
1958,21
1959,36
1960,26
1961,44
1962,58
1963,36
1964,46
1965,50
1966,41
1967,35
1968,47
1969,61
1970,56
1971,44
1972,47
1973,45
1974,35
1975,30
1976,34
1977,43
1978,35
1979,28
1980,41
1981,31
1982,29
1983,35
1984,29
1985,29
1986,31
1987,33
1988,23
1989,42
1990,37
1991,34
1992,34
1993,38
1994,30
1995,35
1996,28
1997,27
1998,29
1999,26
2000,32
2001,19
2002,21
2003,24
2004,16
2005,17
2006,13
2007,11
2008,24
2009,14
2010,12
2011,6
2012,6
