year,Daren (F),Daren (M)
1880,0.000000,0.000000
1881,0.000000,0.000000
1882,0.000000,0.000000
1883,0.000000,0.000000
1884,0.000000,0.000000
1885,0.000000,0.000000
1886,0.000000,0.000000
1887,0.000000,0.000000
1888,0.000000,0.000000
1889,0.000000,0.000000
1890,0.000000,0.000000
1891,0.000000,0.000000
1892,0.000000,0.000000
1893,0.000000,0.000000
1894,0.000000,0.000000
1895,0.000000,0.000000
1896,0.000000,0.000000
1897,0.000000,0.000000
1898,0.000000,0.000000
1899,0.000000,0.000000
1900,0.000000,0.000000
1901,0.000000,0.000000
1902,0.000000,0.000000
1903,0.000000,0.000000
1904,0.000000,0.000000
1905,0.000000,0.000000
1906,0.000000,0.000000
1907,0.000000,0.000000
1908,0.000000,0.000000
1909,0.000000,0.000000
1910,0.000000,0.000000
1911,0.000000,0.000000
1912,0.000000,0.000000
1913,0.000000,0.000000
1914,0.000000,0.000000
1915,0.000000,0.000000
1916,0.000000,0.000000
1917,0.000000,0.000000
1918,0.000000,0.000000
1919,0.000000,0.000000
1920,0.000000,0.000000
1921,0.000000,0.000000
1922,0.000000,0.000015
1923,0.000000,0.000006
1924,0.000000,0.000000
1925,0.000000,0.000003
1926,0.000000,0.000000
1927,0.000000,0.000003
1928,0.000000,0.000004
1929,0.000000,0.000003
1930,0.000000,0.000000
1931,0.000000,0.000000
1932,0.000000,0.000002
1933,0.000000,0.000005
1934,0.000000,0.000003
1935,0.000000,0.000000
1936,0.000000,0.000000
1937,0.000000,0.000002
1938,0.000000,0.000002
1939,0.000000,0.000000
1940,0.000000,0.000002
1941,0.000000,0.000002
1942,0.000000,0.000002
1943,0.000000,0.000002
1944,0.000000,0.000003
1945,0.000000,0.000003
1946,0.000000,0.000004
1947,0.000000,0.000005
1948,0.000000,0.000006
1949,0.000000,0.000003
1950,0.000001,0.000005
1951,0.000000,0.000003
1952,0.000000,0.000004
1953,0.000002,0.000005
1954,0.000002,0.000005
1955,0.000002,0.000006
1956,0.000001,0.000004
1957,0.000001,0.000009
1958,0.000002,0.000008
1959,0.000004,0.000021
1960,0.000003,0.000039
1961,0.000002,0.000046
1962,0.000002,0.000054
1963,0.000002,0.000064
1964,0.000002,0.000081
1965,0.000002,0.000210
1966,0.000003,0.000171
1967,0.000001,0.000167
1968,0.000003,0.000149
1969,0.000001,0.000112
1970,0.000003,0.000096
1971,0.000002,0.000088
1972,0.000000,0.000068
1973,0.000000,0.000068
1974,0.000002,0.000075
1975,0.000000,0.000064
1976,0.000000,0.000060
1977,0.000000,0.000053
1978,0.000000,0.000053
1979,0.000000,0.000050
1980,0.000000,0.000053
1981,0.000000,0.000045
1982,0.000002,0.000048
1983,0.000001,0.000045
1984,0.000001,0.000053
1985,0.000000,0.000036
1986,0.000000,0.000040
1987,0.000000,0.000043
1988,0.000000,0.000039
1989,0.000000,0.000036
1990,0.000000,0.000034
1991,0.000000,0.000034
1992,0.000000,0.000030
1993,0.000000,0.000028
1994,0.000001,0.000029
1995,0.000000,0.000026
1996,0.000000,0.000024
1997,0.000000,0.000034
1998,0.000000,0.000023
1999,0.000000,0.000021
2000,0.000000,0.000028
2001,0.000000,0.000026
2002,0.000000,0.000023
2003,0.000000,0.000021
2004,0.000000,0.000023
2005,0.000000,0.000021
2006,0.000000,0.000022
2007,0.000000,0.000027
2008,0.000000,0.000023
2009,0.000000,0.000023
2010,0.000000,0.000020
2011,0.000000,0.000021
2012,0.000000,0.000015
2013,0.000000,0.000014
