year,Dominga
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,5
1895,0
1896,0
1897,0
1898,5
1899,6
1900,0
1901,0
1902,0
1903,13
1904,9
1905,14
1906,9
1907,8
1908,7
1909,7
1910,18
1911,15
1912,10
1913,36
1914,21
1915,49
1916,45
1917,64
1918,78
1919,82
1920,72
1921,97
1922,100
1923,91
1924,58
1925,102
1926,73
1927,69
1928,52
1929,71
1930,85
1931,69
1932,60
1933,62
1934,66
1935,85
1936,50
1937,57
1938,83
1939,81
1940,56
1941,67
1942,54
1943,70
1944,58
1945,68
1946,75
1947,67
1948,63
1949,60
1950,50
1951,52
1952,44
1953,48
1954,43
1955,42
1956,30
1957,36
1958,30
1959,19
1960,24
1961,23
1962,26
1963,25
1964,18
1965,15
1966,13
1967,14
1968,14
1969,22
1970,27
1971,24
1972,17
1973,20
1974,19
1975,19
1976,23
1977,22
1978,13
1979,18
1980,12
1981,17
1982,20
1983,13
1984,12
1985,11
1986,8
1987,15
1988,16
1989,11
1990,5
1991,9
1992,14
1993,13
1994,13
1995,11
1996,14
1997,9
1998,10
1999,0
2000,10
2001,5
2002,7
2003,10
2004,16
2005,9
2006,17
2007,12
2008,13
2009,16
2010,5
2011,13
2012,8
