year,Delpha
1880,0
1881,0
1882,7
1883,9
1884,5
1885,6
1886,11
1887,0
1888,6
1889,0
1890,7
1891,7
1892,11
1893,11
1894,11
1895,11
1896,18
1897,15
1898,13
1899,18
1900,22
1901,13
1902,19
1903,14
1904,16
1905,18
1906,16
1907,11
1908,17
1909,15
1910,12
1911,21
1912,32
1913,27
1914,35
1915,50
1916,65
1917,54
1918,61
1919,67
1920,68
1921,74
1922,62
1923,55
1924,53
1925,55
1926,42
1927,54
1928,50
1929,35
1930,55
1931,44
1932,39
1933,37
1934,33
1935,29
1936,31
1937,36
1938,37
1939,19
1940,22
1941,20
1942,27
1943,18
1944,20
1945,15
1946,25
1947,14
1948,12
1949,21
1950,16
1951,10
1952,17
1953,12
1954,16
1955,9
1956,11
1957,10
1958,7
1959,8
1960,10
1961,5
1962,10
1963,0
1964,0
1965,9
1966,6
1967,0
1968,0
1969,6
1970,0
1971,5
1972,0
1973,0
1974,0
1975,0
1976,0
1977,0
1978,0
1979,5
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
