year,Diantha
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,10
1916,5
1917,9
1918,11
1919,0
1920,0
1921,0
1922,5
1923,5
1924,8
1925,5
1926,6
1927,0
1928,0
1929,7
1930,6
1931,7
1932,8
1933,7
1934,0
1935,9
1936,6
1937,8
1938,13
1939,9
1940,9
1941,19
1942,22
1943,22
1944,17
1945,12
1946,26
1947,10
1948,18
1949,18
1950,24
1951,21
1952,22
1953,22
1954,15
1955,16
1956,17
1957,8
1958,11
1959,11
1960,10
1961,17
1962,13
1963,12
1964,7
1965,10
1966,7
1967,13
1968,13
1969,9
1970,6
1971,12
1972,11
1973,6
1974,9
1975,0
1976,6
1977,11
1978,5
1979,6
1980,8
1981,0
1982,6
1983,0
1984,11
1985,0
1986,0
1987,0
1988,0
1989,0
1990,8
1991,5
1992,0
1993,5
1994,0
1995,0
1996,0
1997,0
1998,5
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
