year,Dorsey (F),Dorsey (M)
1880,0.000000,0.000069
1881,0.000000,0.000047
1882,0.000000,0.000059
1883,0.000000,0.000069
1884,0.000000,0.000062
1885,0.000000,0.000033
1886,0.000000,0.000047
1887,0.000000,0.000044
1888,0.000000,0.000057
1889,0.000000,0.000087
1890,0.000000,0.000056
1891,0.000000,0.000049
1892,0.000000,0.000030
1893,0.000000,0.000046
1894,0.000000,0.000083
1895,0.000000,0.000046
1896,0.000000,0.000056
1897,0.000000,0.000037
1898,0.000000,0.000052
1899,0.000000,0.000035
1900,0.000000,0.000056
1901,0.000000,0.000032
1902,0.000000,0.000028
1903,0.000000,0.000045
1904,0.000000,0.000052
1905,0.000012,0.000038
1906,0.000000,0.000044
1907,0.000000,0.000045
1908,0.000000,0.000049
1909,0.000000,0.000039
1910,0.000000,0.000025
1911,0.000000,0.000031
1912,0.000000,0.000052
1913,0.000010,0.000044
1914,0.000006,0.000047
1915,0.000007,0.000051
1916,0.000008,0.000083
1917,0.000004,0.000055
1918,0.000008,0.000049
1919,0.000007,0.000047
1920,0.000005,0.000052
1921,0.000006,0.000043
1922,0.000010,0.000040
1923,0.000008,0.000043
1924,0.000008,0.000039
1925,0.000006,0.000038
1926,0.000006,0.000032
1927,0.000008,0.000039
1928,0.000007,0.000037
1929,0.000005,0.000042
1930,0.000003,0.000040
1931,0.000012,0.000039
1932,0.000005,0.000043
1933,0.000007,0.000035
1934,0.000006,0.000039
1935,0.000003,0.000035
1936,0.000006,0.000033
1937,0.000006,0.000031
1938,0.000004,0.000036
1939,0.000006,0.000028
1940,0.000003,0.000037
1941,0.000005,0.000032
1942,0.000007,0.000030
1943,0.000005,0.000027
1944,0.000006,0.000027
1945,0.000003,0.000025
1946,0.000003,0.000021
1947,0.000003,0.000024
1948,0.000003,0.000021
1949,0.000004,0.000018
1950,0.000003,0.000016
1951,0.000004,0.000022
1952,0.000005,0.000017
1953,0.000004,0.000016
1954,0.000003,0.000020
1955,0.000002,0.000015
1956,0.000002,0.000015
1957,0.000004,0.000010
1958,0.000002,0.000014
1959,0.000002,0.000009
1960,0.000005,0.000014
1961,0.000002,0.000011
1962,0.000003,0.000011
1963,0.000003,0.000011
1964,0.000002,0.000010
1965,0.000003,0.000012
1966,0.000000,0.000013
1967,0.000002,0.000006
1968,0.000003,0.000009
1969,0.000003,0.000007
1970,0.000003,0.000010
1971,0.000000,0.000011
1972,0.000003,0.000009
1973,0.000002,0.000010
1974,0.000002,0.000008
1975,0.000002,0.000007
1976,0.000002,0.000008
1977,0.000000,0.000009
1978,0.000002,0.000005
1979,0.000003,0.000006
1980,0.000000,0.000007
1981,0.000002,0.000008
1982,0.000001,0.000006
1983,0.000002,0.000008
1984,0.000000,0.000004
1985,0.000001,0.000005
1986,0.000000,0.000004
1987,0.000000,0.000003
1988,0.000000,0.000007
1989,0.000000,0.000005
1990,0.000000,0.000004
1991,0.000000,0.000003
1992,0.000002,0.000005
1993,0.000001,0.000004
1994,0.000002,0.000002
1995,0.000000,0.000002
1996,0.000000,0.000003
1997,0.000000,0.000003
1998,0.000000,0.000003
1999,0.000000,0.000001
2000,0.000000,0.000003
2001,0.000000,0.000002
2002,0.000000,0.000003
2003,0.000000,0.000004
2004,0.000000,0.000003
2005,0.000000,0.000001
2006,0.000000,0.000002
2007,0.000000,0.000003
2008,0.000000,0.000003
2009,0.000000,0.000002
2010,0.000000,0.000000
2011,0.000000,0.000001
2012,0.000000,0.000002
