year,Dava
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,5
1932,0
1933,0
1934,0
1935,0
1936,0
1937,9
1938,9
1939,6
1940,0
1941,7
1942,7
1943,9
1944,7
1945,8
1946,13
1947,15
1948,14
1949,11
1950,10
1951,22
1952,14
1953,34
1954,50
1955,36
1956,24
1957,19
1958,19
1959,30
1960,24
1961,28
1962,19
1963,11
1964,22
1965,28
1966,25
1967,34
1968,33
1969,38
1970,41
1971,24
1972,36
1973,28
1974,25
1975,22
1976,31
1977,38
1978,28
1979,29
1980,18
1981,18
1982,20
1983,22
1984,12
1985,18
1986,19
1987,13
1988,28
1989,22
1990,15
1991,18
1992,18
1993,13
1994,10
1995,15
1996,14
1997,21
1998,19
1999,8
2000,15
2001,5
2002,14
2003,8
2004,8
2005,7
2006,6
2007,12
2008,11
2009,0
2010,8
2011,8
2012,8
