year,Dominick (F),Dominick (M)
1880,0.000000,0.000000
1881,0.000000,0.000031
1882,0.000000,0.000023
1883,0.000000,0.000032
1884,0.000000,0.000000
1885,0.000000,0.000025
1886,0.000000,0.000000
1887,0.000000,0.000028
1888,0.000000,0.000000
1889,0.000000,0.000048
1890,0.000000,0.000040
1891,0.000000,0.000031
1892,0.000000,0.000033
1893,0.000000,0.000046
1894,0.000000,0.000053
1895,0.000000,0.000043
1896,0.000000,0.000042
1897,0.000000,0.000066
1898,0.000000,0.000045
1899,0.000000,0.000091
1900,0.000000,0.000056
1901,0.000000,0.000084
1902,0.000000,0.000049
1903,0.000000,0.000089
1904,0.000000,0.000069
1905,0.000000,0.000073
1906,0.000000,0.000103
1907,0.000000,0.000133
1908,0.000000,0.000127
1909,0.000000,0.000178
1910,0.000000,0.000157
1911,0.000000,0.000185
1912,0.000000,0.000278
1913,0.000000,0.000286
1914,0.000000,0.000299
1915,0.000000,0.000284
1916,0.000000,0.000294
1917,0.000000,0.000253
1918,0.000000,0.000274
1919,0.000000,0.000232
1920,0.000000,0.000249
1921,0.000000,0.000247
1922,0.000000,0.000239
1923,0.000000,0.000252
1924,0.000000,0.000243
1925,0.000000,0.000231
1926,0.000000,0.000203
1927,0.000000,0.000215
1928,0.000000,0.000210
1929,0.000002,0.000212
1930,0.000000,0.000190
1931,0.000000,0.000185
1932,0.000000,0.000174
1933,0.000000,0.000154
1934,0.000000,0.000122
1935,0.000000,0.000130
1936,0.000000,0.000114
1937,0.000000,0.000117
1938,0.000000,0.000106
1939,0.000000,0.000104
1940,0.000000,0.000103
1941,0.000000,0.000112
1942,0.000000,0.000117
1943,0.000000,0.000100
1944,0.000000,0.000096
1945,0.000000,0.000089
1946,0.000000,0.000076
1947,0.000000,0.000080
1948,0.000000,0.000077
1949,0.000000,0.000074
1950,0.000000,0.000073
1951,0.000000,0.000085
1952,0.000000,0.000087
1953,0.000000,0.000084
1954,0.000000,0.000079
1955,0.000000,0.000083
1956,0.000000,0.000081
1957,0.000000,0.000074
1958,0.000000,0.000082
1959,0.000000,0.000079
1960,0.000000,0.000084
1961,0.000000,0.000076
1962,0.000000,0.000074
1963,0.000000,0.000085
1964,0.000000,0.000081
1965,0.000002,0.000085
1966,0.000000,0.000091
1967,0.000000,0.000076
1968,0.000000,0.000083
1969,0.000000,0.000097
1970,0.000000,0.000083
1971,0.000000,0.000074
1972,0.000000,0.000088
1973,0.000000,0.000088
1974,0.000000,0.000083
1975,0.000000,0.000097
1976,0.000003,0.000090
1977,0.000000,0.000100
1978,0.000003,0.000101
1979,0.000000,0.000096
1980,0.000000,0.000093
1981,0.000000,0.000094
1982,0.000002,0.000097
1983,0.000002,0.000090
1984,0.000002,0.000107
1985,0.000002,0.000118
1986,0.000005,0.000118
1987,0.000002,0.000117
1988,0.000002,0.000130
1989,0.000002,0.000143
1990,0.000003,0.000149
1991,0.000002,0.000165
1992,0.000002,0.000214
1993,0.000001,0.000240
1994,0.000004,0.000238
1995,0.000004,0.000241
1996,0.000004,0.000256
1997,0.000002,0.000302
1998,0.000003,0.000298
1999,0.000002,0.000307
2000,0.000002,0.000315
2001,0.000002,0.000297
2002,0.000002,0.000416
2003,0.000002,0.000468
2004,0.000003,0.000420
2005,0.000004,0.000440
2006,0.000000,0.000438
2007,0.000002,0.000408
2008,0.000001,0.000392
2009,0.000000,0.000377
2010,0.000000,0.000360
2011,0.000000,0.000354
2012,0.000002,0.000373
