year,Doria
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,7
1910,0
1911,0
1912,0
1913,6
1914,0
1915,9
1916,0
1917,7
1918,9
1919,0
1920,7
1921,8
1922,14
1923,12
1924,13
1925,9
1926,8
1927,13
1928,5
1929,12
1930,15
1931,7
1932,8
1933,7
1934,15
1935,5
1936,7
1937,7
1938,5
1939,0
1940,0
1941,9
1942,8
1943,5
1944,9
1945,7
1946,9
1947,25
1948,18
1949,14
1950,6
1951,13
1952,12
1953,9
1954,14
1955,24
1956,27
1957,37
1958,31
1959,29
1960,28
1961,28
1962,16
1963,22
1964,17
1965,15
1966,20
1967,26
1968,19
1969,14
1970,16
1971,48
1972,27
1973,19
1974,17
1975,15
1976,11
1977,17
1978,17
1979,13
1980,12
1981,14
1982,19
1983,21
1984,11
1985,17
1986,10
1987,13
1988,9
1989,7
1990,8
1991,9
1992,6
1993,5
1994,9
1995,8
1996,15
1997,21
1998,23
1999,17
2000,10
2001,14
2002,0
2003,9
2004,8
2005,6
2006,5
2007,5
2008,0
2009,0
2010,6
2011,0
2012,0
