year,Dannie (F),Dannie (M)
1880,0.000000,0.000000
1881,0.000000,0.000000
1882,0.000000,0.000000
1883,0.000000,0.000000
1884,0.000000,0.000000
1885,0.000021,0.000000
1886,0.000000,0.000000
1887,0.000000,0.000000
1888,0.000017,0.000000
1889,0.000021,0.000000
1890,0.000000,0.000000
1891,0.000017,0.000000
1892,0.000000,0.000000
1893,0.000025,0.000018
1894,0.000015,0.000000
1895,0.000017,0.000020
1896,0.000000,0.000000
1897,0.000023,0.000000
1898,0.000018,0.000016
1899,0.000000,0.000000
1900,0.000013,0.000000
1901,0.000035,0.000000
1902,0.000023,0.000000
1903,0.000018,0.000018
1904,0.000012,0.000012
1905,0.000026,0.000000
1906,0.000026,0.000000
1907,0.000013,0.000000
1908,0.000016,0.000000
1909,0.000025,0.000000
1910,0.000017,0.000012
1911,0.000019,0.000012
1912,0.000021,0.000008
1913,0.000013,0.000010
1914,0.000016,0.000008
1915,0.000011,0.000013
1916,0.000009,0.000009
1917,0.000012,0.000010
1918,0.000010,0.000010
1919,0.000012,0.000015
1920,0.000015,0.000019
1921,0.000012,0.000012
1922,0.000013,0.000013
1923,0.000009,0.000013
1924,0.000013,0.000014
1925,0.000009,0.000021
1926,0.000012,0.000020
1927,0.000010,0.000019
1928,0.000012,0.000019
1929,0.000010,0.000021
1930,0.000012,0.000026
1931,0.000012,0.000027
1932,0.000009,0.000028
1933,0.000014,0.000037
1934,0.000008,0.000031
1935,0.000008,0.000031
1936,0.000008,0.000040
1937,0.000011,0.000043
1938,0.000012,0.000046
1939,0.000008,0.000053
1940,0.000009,0.000052
1941,0.000007,0.000044
1942,0.000010,0.000047
1943,0.000012,0.000067
1944,0.000012,0.000075
1945,0.000015,0.000081
1946,0.000012,0.000082
1947,0.000012,0.000078
1948,0.000012,0.000081
1949,0.000009,0.000078
1950,0.000008,0.000071
1951,0.000006,0.000072
1952,0.000008,0.000075
1953,0.000005,0.000074
1954,0.000007,0.000055
1955,0.000005,0.000064
1956,0.000004,0.000058
1957,0.000003,0.000054
1958,0.000004,0.000055
1959,0.000004,0.000042
1960,0.000002,0.000043
1961,0.000006,0.000043
1962,0.000004,0.000034
1963,0.000003,0.000037
1964,0.000002,0.000030
1965,0.000004,0.000033
1966,0.000003,0.000031
1967,0.000006,0.000029
1968,0.000003,0.000027
1969,0.000003,0.000031
1970,0.000004,0.000026
1971,0.000003,0.000023
1972,0.000004,0.000027
1973,0.000005,0.000027
1974,0.000006,0.000021
1975,0.000002,0.000019
1976,0.000003,0.000027
1977,0.000004,0.000018
1978,0.000004,0.000017
1979,0.000003,0.000018
1980,0.000001,0.000015
1981,0.000002,0.000013
1982,0.000003,0.000015
1983,0.000003,0.000014
1984,0.000003,0.000014
1985,0.000003,0.000010
1986,0.000003,0.000012
1987,0.000003,0.000011
1988,0.000003,0.000011
1989,0.000003,0.000011
1990,0.000002,0.000009
1991,0.000003,0.000007
1992,0.000003,0.000009
1993,0.000004,0.000010
1994,0.000006,0.000010
1995,0.000004,0.000010
1996,0.000004,0.000007
1997,0.000002,0.000007
1998,0.000004,0.000007
1999,0.000005,0.000009
2000,0.000002,0.000004
2001,0.000005,0.000005
2002,0.000003,0.000007
2003,0.000005,0.000006
2004,0.000004,0.000006
2005,0.000003,0.000004
2006,0.000003,0.000006
2007,0.000005,0.000003
2008,0.000005,0.000005
2009,0.000005,0.000005
2010,0.000005,0.000004
2011,0.000007,0.000005
2012,0.000005,0.000007
