year,Durward
1880,0
1881,0
1882,0
1883,0
1884,5
1885,0
1886,0
1887,0
1888,0
1889,0
1890,5
1891,5
1892,5
1893,7
1894,7
1895,5
1896,0
1897,0
1898,5
1899,0
1900,0
1901,0
1902,9
1903,8
1904,6
1905,9
1906,9
1907,11
1908,15
1909,15
1910,11
1911,23
1912,59
1913,45
1914,71
1915,101
1916,118
1917,103
1918,94
1919,99
1920,94
1921,107
1922,95
1923,90
1924,77
1925,90
1926,61
1927,66
1928,48
1929,65
1930,43
1931,48
1932,48
1933,43
1934,49
1935,38
1936,35
1937,44
1938,28
1939,36
1940,37
1941,38
1942,41
1943,34
1944,35
1945,33
1946,37
1947,35
1948,33
1949,31
1950,24
1951,19
1952,22
1953,28
1954,22
1955,31
1956,18
1957,20
1958,28
1959,12
1960,18
1961,15
1962,21
1963,13
1964,19
1965,17
1966,14
1967,11
1968,11
1969,9
1970,8
1971,15
1972,0
1973,17
1974,0
1975,7
1976,0
1977,7
1978,6
1979,6
1980,9
1981,0
1982,6
1983,0
1984,0
1985,0
1986,5
1987,0
1988,0
1989,0
1990,0
1991,5
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
