year,Dyann
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,7
1935,0
1936,7
1937,0
1938,6
1939,13
1940,10
1941,23
1942,11
1943,21
1944,23
1945,22
1946,30
1947,31
1948,28
1949,31
1950,41
1951,46
1952,39
1953,32
1954,30
1955,23
1956,29
1957,25
1958,24
1959,16
1960,15
1961,22
1962,17
1963,18
1964,20
1965,24
1966,23
1967,29
1968,24
1969,23
1970,29
1971,21
1972,9
1973,14
1974,9
1975,9
1976,19
1977,6
1978,0
1979,7
1980,10
1981,5
1982,8
1983,7
1984,9
1985,7
1986,8
1987,5
1988,0
1989,0
1990,0
1991,0
1992,0
1993,7
1994,0
1995,0
1996,0
1997,0
1998,6
1999,0
2000,0
2001,0
2002,0
2003,5
2004,5
2005,6
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
