year,David (F),David (M)
1880,0.000000,0.004313
1881,0.000000,0.003892
1882,0.000000,0.003783
1883,0.000028,0.003383
1884,0.000000,0.003126
1885,0.000021,0.002956
1886,0.000000,0.002640
1887,0.000036,0.002720
1888,0.000000,0.002675
1889,0.000000,0.002620
1890,0.000000,0.002425
1891,0.000000,0.002348
1892,0.000015,0.002431
1893,0.000018,0.002226
1894,0.000000,0.002152
1895,0.000014,0.002014
1896,0.000020,0.002140
1897,0.000000,0.002104
1898,0.000013,0.002137
1899,0.000000,0.001904
1900,0.000020,0.001963
1901,0.000000,0.001943
1902,0.000000,0.001968
1903,0.000000,0.001878
1904,0.000000,0.002025
1905,0.000017,0.001977
1906,0.000019,0.002049
1907,0.000024,0.002031
1908,0.000000,0.002079
1909,0.000014,0.002140
1910,0.000015,0.002130
1911,0.000014,0.002415
1912,0.000016,0.002893
1913,0.000011,0.002886
1914,0.000015,0.003001
1915,0.000017,0.002944
1916,0.000013,0.003005
1917,0.000017,0.003040
1918,0.000017,0.003052
1919,0.000015,0.003183
1920,0.000015,0.003290
1921,0.000018,0.003327
1922,0.000014,0.003436
1923,0.000019,0.003574
1924,0.000021,0.003678
1925,0.000017,0.003822
1926,0.000024,0.003937
1927,0.000026,0.004064
1928,0.000030,0.004420
1929,0.000033,0.005156
1930,0.000039,0.005522
1931,0.000027,0.005599
1932,0.000027,0.005749
1933,0.000032,0.006015
1934,0.000036,0.006741
1935,0.000029,0.007495
1936,0.000025,0.008413
1937,0.000033,0.009844
1938,0.000028,0.010392
1939,0.000042,0.011510
1940,0.000036,0.012025
1941,0.000039,0.012540
1942,0.000042,0.013141
1943,0.000039,0.013194
1944,0.000037,0.013897
1945,0.000033,0.013988
1946,0.000033,0.014535
1947,0.000031,0.016049
1948,0.000035,0.016401
1949,0.000033,0.017105
1950,0.000038,0.017334
1951,0.000028,0.017587
1952,0.000035,0.018892
1953,0.000039,0.019753
1954,0.000038,0.019988
1955,0.000037,0.021498
1956,0.000038,0.019797
1957,0.000040,0.019608
1958,0.000049,0.019988
1959,0.000057,0.020192
1960,0.000054,0.020686
1961,0.000057,0.020470
1962,0.000072,0.020154
1963,0.000060,0.019821
1964,0.000064,0.019306
1965,0.000060,0.018711
1966,0.000066,0.019110
1967,0.000083,0.019682
1968,0.000078,0.018855
1969,0.000085,0.018324
1970,0.000080,0.017121
1971,0.000076,0.015477
1972,0.000075,0.014747
1973,0.000075,0.013621
1974,0.000077,0.013751
1975,0.000078,0.012973
1976,0.000075,0.012945
1977,0.000080,0.012760
1978,0.000077,0.012822
1979,0.000086,0.012644
1980,0.000084,0.012168
1981,0.000065,0.011755
1982,0.000071,0.011534
1983,0.000093,0.011321
1984,0.000067,0.011033
1985,0.000081,0.010795
1986,0.000077,0.010448
1987,0.000070,0.010205
1988,0.000068,0.009560
1989,0.000038,0.009162
1990,0.000030,0.008540
1991,0.000024,0.007809
1992,0.000030,0.007399
1993,0.000024,0.007169
1994,0.000020,0.006690
1995,0.000019,0.006291
1996,0.000017,0.006312
1997,0.000010,0.006038
1998,0.000011,0.005680
1999,0.000012,0.005509
2000,0.000012,0.005234
2001,0.000011,0.005171
2002,0.000010,0.005000
2003,0.000008,0.004899
2004,0.000017,0.004816
2005,0.000007,0.004715
2006,0.000008,0.004462
2007,0.000006,0.004393
2008,0.000006,0.004158
2009,0.000004,0.004046
2010,0.000007,0.003848
2011,0.000005,0.003621
2012,0.000005,0.003434
2013,0.000004,0.003397
2014,0.000004,0.003303
2015,0.000005,0.003196
2016,0.000004,0.003038
2017,0.000003,0.002861
2018,0.000004,0.002787
2019,0.000003,0.002586
2020,0.000003,0.002467
