year,Denton (F),Denton (M)
1880,0.000000,0.000000
1881,0.000000,0.000036
1882,0.000000,0.000000
1883,0.000000,0.000000
1884,0.000000,0.000000
1885,0.000000,0.000000
1886,0.000000,0.000000
1887,0.000000,0.000000
1888,0.000000,0.000020
1889,0.000000,0.000000
1890,0.000000,0.000000
1891,0.000000,0.000000
1892,0.000000,0.000000
1893,0.000000,0.000000
1894,0.000000,0.000000
1895,0.000000,0.000000
1896,0.000000,0.000000
1897,0.000000,0.000026
1898,0.000000,0.000000
1899,0.000000,0.000000
1900,0.000000,0.000000
1901,0.000000,0.000000
1902,0.000000,0.000000
1903,0.000000,0.000000
1904,0.000000,0.000000
1905,0.000000,0.000000
1906,0.000000,0.000000
1907,0.000000,0.000000
1908,0.000000,0.000020
1909,0.000000,0.000000
1910,0.000000,0.000015
1911,0.000000,0.000017
1912,0.000000,0.000019
1913,0.000000,0.000021
1914,0.000000,0.000022
1915,0.000000,0.000019
1916,0.000000,0.000016
1917,0.000000,0.000017
1918,0.000000,0.000018
1919,0.000000,0.000019
1920,0.000000,0.000019
1921,0.000000,0.000015
1922,0.000000,0.000021
1923,0.000000,0.000016
1924,0.000000,0.000011
1925,0.000000,0.000018
1926,0.000000,0.000017
1927,0.000000,0.000019
1928,0.000000,0.000019
1929,0.000000,0.000016
1930,0.000000,0.000019
1931,0.000000,0.000021
1932,0.000000,0.000018
1933,0.000000,0.000017
1934,0.000000,0.000019
1935,0.000000,0.000022
1936,0.000000,0.000018
1937,0.000000,0.000018
1938,0.000000,0.000017
1939,0.000000,0.000022
1940,0.000000,0.000014
1941,0.000000,0.000017
1942,0.000000,0.000024
1943,0.000000,0.000017
1944,0.000000,0.000016
1945,0.000000,0.000019
1946,0.000000,0.000016
1947,0.000000,0.000014
1948,0.000000,0.000012
1949,0.000000,0.000013
1950,0.000000,0.000016
1951,0.000000,0.000010
1952,0.000000,0.000011
1953,0.000000,0.000009
1954,0.000000,0.000010
1955,0.000000,0.000011
1956,0.000000,0.000011
1957,0.000000,0.000008
1958,0.000000,0.000010
1959,0.000000,0.000012
1960,0.000000,0.000010
1961,0.000000,0.000010
1962,0.000000,0.000007
1963,0.000000,0.000012
1964,0.000000,0.000011
1965,0.000000,0.000009
1966,0.000000,0.000008
1967,0.000000,0.000008
1968,0.000000,0.000008
1969,0.000000,0.000012
1970,0.000000,0.000012
1971,0.000000,0.000016
1972,0.000000,0.000014
1973,0.000000,0.000014
1974,0.000000,0.000012
1975,0.000000,0.000012
1976,0.000000,0.000014
1977,0.000000,0.000011
1978,0.000000,0.000010
1979,0.000000,0.000009
1980,0.000000,0.000013
1981,0.000000,0.000014
1982,0.000000,0.000011
1983,0.000000,0.000013
1984,0.000000,0.000016
1985,0.000000,0.000015
1986,0.000000,0.000016
1987,0.000000,0.000016
1988,0.000000,0.000013
1989,0.000000,0.000018
1990,0.000000,0.000015
1991,0.000000,0.000012
1992,0.000000,0.000017
1993,0.000000,0.000019
1994,0.000000,0.000024
1995,0.000000,0.000023
1996,0.000000,0.000018
1997,0.000000,0.000021
1998,0.000000,0.000017
1999,0.000000,0.000014
2000,0.000000,0.000019
2001,0.000000,0.000016
2002,0.000000,0.000014
2003,0.000000,0.000010
2004,0.000000,0.000013
2005,0.000000,0.000013
2006,0.000000,0.000017
2007,0.000000,0.000012
2008,0.000000,0.000012
2009,0.000000,0.000012
2010,0.000000,0.000012
2011,0.000000,0.000015
2012,0.000000,0.000015
2013,0.000000,0.000016
