year,Desmond (F),Desmond (M)
1880,0.000000,0.000000
1881,0.000000,0.000000
1882,0.000000,0.000000
1883,0.000000,0.000000
1884,0.000000,0.000000
1885,0.000000,0.000000
1886,0.000000,0.000000
1887,0.000000,0.000000
1888,0.000000,0.000000
1889,0.000000,0.000000
1890,0.000000,0.000000
1891,0.000000,0.000000
1892,0.000000,0.000000
1893,0.000000,0.000000
1894,0.000000,0.000000
1895,0.000000,0.000000
1896,0.000000,0.000000
1897,0.000000,0.000000
1898,0.000000,0.000000
1899,0.000000,0.000000
1900,0.000000,0.000000
1901,0.000000,0.000000
1902,0.000000,0.000000
1903,0.000000,0.000000
1904,0.000000,0.000020
1905,0.000000,0.000000
1906,0.000000,0.000000
1907,0.000000,0.000000
1908,0.000000,0.000012
1909,0.000000,0.000000
1910,0.000000,0.000014
1911,0.000000,0.000008
1912,0.000000,0.000009
1913,0.000000,0.000015
1914,0.000000,0.000011
1915,0.000000,0.000010
1916,0.000000,0.000016
1917,0.000000,0.000011
1918,0.000000,0.000011
1919,0.000000,0.000007
1920,0.000000,0.000009
1921,0.000000,0.000013
1922,0.000000,0.000029
1923,0.000000,0.000023
1924,0.000000,0.000016
1925,0.000000,0.000015
1926,0.000000,0.000021
1927,0.000000,0.000014
1928,0.000000,0.000012
1929,0.000000,0.000013
1930,0.000000,0.000013
1931,0.000000,0.000016
1932,0.000000,0.000014
1933,0.000000,0.000011
1934,0.000000,0.000008
1935,0.000000,0.000011
1936,0.000000,0.000008
1937,0.000000,0.000011
1938,0.000000,0.000010
1939,0.000000,0.000010
1940,0.000000,0.000007
1941,0.000000,0.000010
1942,0.000000,0.000007
1943,0.000000,0.000008
1944,0.000000,0.000008
1945,0.000000,0.000009
1946,0.000000,0.000009
1947,0.000000,0.000010
1948,0.000000,0.000008
1949,0.000000,0.000007
1950,0.000000,0.000011
1951,0.000000,0.000012
1952,0.000000,0.000009
1953,0.000000,0.000011
1954,0.000000,0.000016
1955,0.000000,0.000015
1956,0.000000,0.000014
1957,0.000000,0.000012
1958,0.000000,0.000010
1959,0.000000,0.000015
1960,0.000000,0.000020
1961,0.000000,0.000022
1962,0.000000,0.000025
1963,0.000000,0.000029
1964,0.000000,0.000035
1965,0.000000,0.000034
1966,0.000000,0.000035
1967,0.000000,0.000044
1968,0.000000,0.000038
1969,0.000000,0.000039
1970,0.000000,0.000046
1971,0.000000,0.000066
1972,0.000000,0.000078
1973,0.000000,0.000092
1974,0.000000,0.000103
1975,0.000002,0.000079
1976,0.000000,0.000085
1977,0.000003,0.000116
1978,0.000003,0.000166
1979,0.000003,0.000133
1980,0.000003,0.000153
1981,0.000000,0.000112
1982,0.000002,0.000101
1983,0.000002,0.000103
1984,0.000000,0.000108
1985,0.000001,0.000190
1986,0.000003,0.000190
1987,0.000002,0.000165
1988,0.000002,0.000187
1989,0.000003,0.000197
1990,0.000002,0.000220
1991,0.000003,0.000214
1992,0.000003,0.000278
1993,0.000003,0.000200
1994,0.000003,0.000180
1995,0.000002,0.000182
1996,0.000003,0.000172
1997,0.000004,0.000244
1998,0.000002,0.000202
1999,0.000003,0.000201
2000,0.000001,0.000185
2001,0.000000,0.000170
2002,0.000001,0.000156
2003,0.000002,0.000146
2004,0.000000,0.000142
2005,0.000000,0.000138
2006,0.000000,0.000147
2007,0.000001,0.000169
2008,0.000000,0.000184
2009,0.000000,0.000207
2010,0.000000,0.000238
2011,0.000000,0.000231
2012,0.000000,0.000253
