year,Derrick (F),Derrick (M)
1880,0.000000,0.000000
1881,0.000000,0.000000
1882,0.000000,0.000000
1883,0.000000,0.000000
1884,0.000000,0.000000
1885,0.000000,0.000000
1886,0.000000,0.000000
1887,0.000000,0.000000
1888,0.000000,0.000000
1889,0.000000,0.000000
1890,0.000000,0.000000
1891,0.000000,0.000000
1892,0.000000,0.000000
1893,0.000000,0.000000
1894,0.000000,0.000000
1895,0.000000,0.000000
1896,0.000000,0.000000
1897,0.000000,0.000000
1898,0.000000,0.000000
1899,0.000000,0.000000
1900,0.000000,0.000000
1901,0.000000,0.000000
1902,0.000000,0.000000
1903,0.000000,0.000000
1904,0.000000,0.000000
1905,0.000000,0.000000
1906,0.000000,0.000000
1907,0.000000,0.000000
1908,0.000000,0.000000
1909,0.000000,0.000000
1910,0.000000,0.000000
1911,0.000000,0.000000
1912,0.000000,0.000000
1913,0.000000,0.000000
1914,0.000000,0.000000
1915,0.000000,0.000000
1916,0.000000,0.000000
1917,0.000000,0.000002
1918,0.000000,0.000003
1919,0.000000,0.000000
1920,0.000000,0.000000
1921,0.000000,0.000000
1922,0.000000,0.000000
1923,0.000000,0.000000
1924,0.000000,0.000000
1925,0.000000,0.000000
1926,0.000000,0.000000
1927,0.000000,0.000000
1928,0.000000,0.000003
1929,0.000000,0.000003
1930,0.000000,0.000002
1931,0.000000,0.000002
1932,0.000000,0.000003
1933,0.000000,0.000003
1934,0.000000,0.000003
1935,0.000000,0.000000
1936,0.000000,0.000003
1937,0.000000,0.000003
1938,0.000000,0.000007
1939,0.000000,0.000000
1940,0.000000,0.000003
1941,0.000000,0.000007
1942,0.000000,0.000005
1943,0.000000,0.000011
1944,0.000000,0.000009
1945,0.000000,0.000008
1946,0.000000,0.000009
1947,0.000000,0.000013
1948,0.000000,0.000019
1949,0.000000,0.000024
1950,0.000000,0.000049
1951,0.000000,0.000060
1952,0.000000,0.000079
1953,0.000000,0.000093
1954,0.000001,0.000128
1955,0.000000,0.000163
1956,0.000002,0.000196
1957,0.000001,0.000225
1958,0.000002,0.000249
1959,0.000002,0.000284
1960,0.000002,0.000284
1961,0.000003,0.000362
1962,0.000004,0.000393
1963,0.000005,0.000491
1964,0.000004,0.000539
1965,0.000003,0.000667
1966,0.000008,0.000702
1967,0.000007,0.000737
1968,0.000007,0.000767
1969,0.000009,0.000847
1970,0.000009,0.000956
1971,0.000008,0.001042
1972,0.000011,0.000982
1973,0.000009,0.001013
1974,0.000014,0.000974
1975,0.000014,0.000934
1976,0.000010,0.000962
1977,0.000013,0.001097
1978,0.000013,0.001193
1979,0.000011,0.001121
1980,0.000010,0.001201
1981,0.000010,0.001113
1982,0.000010,0.001042
1983,0.000010,0.001056
1984,0.000009,0.001050
1985,0.000012,0.001059
1986,0.000011,0.000936
1987,0.000009,0.000980
1988,0.000007,0.000895
1989,0.000004,0.000896
1990,0.000003,0.000851
1991,0.000002,0.000795
1992,0.000002,0.000759
1993,0.000005,0.000717
1994,0.000002,0.000692
1995,0.000002,0.000598
1996,0.000000,0.000547
1997,0.000000,0.000492
1998,0.000000,0.000478
1999,0.000001,0.000437
2000,0.000000,0.000423
2001,0.000000,0.000389
2002,0.000001,0.000385
2003,0.000002,0.000363
2004,0.000002,0.000346
2005,0.000002,0.000357
2006,0.000000,0.000345
2007,0.000000,0.000324
2008,0.000000,0.000304
2009,0.000000,0.000293
2010,0.000000,0.000281
2011,0.000000,0.000300
2012,0.000000,0.000289
2013,0.000000,0.000269
