year,Donnamarie
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,5
1939,0
1940,0
1941,7
1942,7
1943,13
1944,8
1945,11
1946,18
1947,23
1948,19
1949,25
1950,15
1951,42
1952,29
1953,16
1954,31
1955,28
1956,39
1957,43
1958,34
1959,60
1960,54
1961,64
1962,49
1963,52
1964,48
1965,41
1966,28
1967,19
1968,21
1969,16
1970,27
1971,16
1972,16
1973,15
1974,17
1975,5
1976,9
1977,8
1978,12
1979,7
1980,9
1981,6
1982,12
1983,7
1984,8
1985,13
1986,5
1987,8
1988,14
1989,6
1990,7
1991,5
1992,5
1993,5
1994,0
1995,5
1996,0
1997,0
1998,5
1999,0
2000,0
2001,7
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
