year,Dixon
1880,0
1881,6
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,5
1911,5
1912,6
1913,8
1914,18
1915,21
1916,14
1917,13
1918,28
1919,12
1920,25
1921,18
1922,23
1923,28
1924,24
1925,23
1926,19
1927,20
1928,24
1929,18
1930,15
1931,23
1932,18
1933,17
1934,18
1935,20
1936,26
1937,23
1938,27
1939,21
1940,31
1941,20
1942,32
1943,29
1944,28
1945,17
1946,28
1947,32
1948,33
1949,19
1950,25
1951,37
1952,22
1953,38
1954,27
1955,30
1956,32
1957,29
1958,23
1959,25
1960,28
1961,24
1962,20
1963,15
1964,17
1965,18
1966,16
1967,13
1968,21
1969,16
1970,12
1971,16
1972,16
1973,17
1974,12
1975,14
1976,11
1977,15
1978,0
1979,16
1980,18
1981,12
1982,9
1983,20
1984,8
1985,9
1986,16
1987,14
1988,17
1989,25
1990,14
1991,20
1992,25
1993,25
1994,24
1995,27
1996,38
1997,25
1998,28
1999,33
2000,35
2001,22
2002,25
2003,35
2004,34
2005,38
2006,33
2007,35
2008,37
2009,50
2010,56
2011,58
2012,54
