year,Drexel
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,5
1911,0
1912,7
1913,12
1914,29
1915,11
1916,13
1917,23
1918,20
1919,15
1920,27
1921,12
1922,17
1923,12
1924,17
1925,24
1926,25
1927,16
1928,10
1929,16
1930,23
1931,22
1932,14
1933,13
1934,19
1935,15
1936,14
1937,9
1938,23
1939,13
1940,15
1941,15
1942,12
1943,11
1944,12
1945,11
1946,12
1947,14
1948,16
1949,12
1950,13
1951,19
1952,22
1953,21
1954,15
1955,19
1956,15
1957,27
1958,25
1959,18
1960,15
1961,17
1962,18
1963,16
1964,20
1965,26
1966,11
1967,15
1968,10
1969,14
1970,11
1971,9
1972,7
1973,7
1974,6
1975,5
1976,5
1977,0
1978,8
1979,0
1980,0
1981,10
1982,11
1983,6
1984,5
1985,6
1986,14
1987,7
1988,5
1989,6
1990,9
1991,9
1992,5
1993,5
1994,6
1995,11
1996,0
1997,0
1998,0
1999,8
2000,7
2001,8
2002,9
2003,8
2004,9
2005,6
2006,6
2007,9
2008,8
2009,12
2010,13
2011,16
2012,10
