year,Dearl
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,6
1918,8
1919,7
1920,0
1921,8
1922,7
1923,7
1924,10
1925,9
1926,8
1927,10
1928,12
1929,14
1930,18
1931,16
1932,11
1933,24
1934,16
1935,23
1936,20
1937,13
1938,22
1939,13
1940,22
1941,16
1942,12
1943,17
1944,11
1945,17
1946,16
1947,20
1948,20
1949,12
1950,17
1951,14
1952,16
1953,13
1954,19
1955,9
1956,11
1957,14
1958,14
1959,15
1960,18
1961,16
1962,7
1963,8
1964,9
1965,7
1966,11
1967,10
1968,9
1969,0
1970,8
1971,8
1972,8
1973,10
1974,7
1975,0
1976,10
1977,6
1978,5
1979,0
1980,6
1981,0
1982,9
1983,6
1984,6
1985,7
1986,7
1987,0
1988,0
1989,7
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
