year,Dermot
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,5
1918,6
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,5
1928,0
1929,5
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,5
1943,0
1944,0
1945,0
1946,0
1947,0
1948,0
1949,0
1950,0
1951,0
1952,0
1953,0
1954,9
1955,11
1956,13
1957,5
1958,8
1959,12
1960,7
1961,9
1962,11
1963,14
1964,14
1965,5
1966,10
1967,9
1968,10
1969,17
1970,10
1971,8
1972,9
1973,13
1974,8
1975,7
1976,8
1977,7
1978,0
1979,5
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,5
1995,5
1996,6
1997,6
1998,6
1999,11
2000,5
2001,13
2002,8
2003,12
2004,11
2005,10
2006,9
2007,14
2008,10
2009,6
2010,8
2011,0
2012,10
