year,Debby
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,5
1924,0
1925,0
1926,0
1927,0
1928,0
1929,7
1930,5
1931,7
1932,12
1933,11
1934,5
1935,6
1936,15
1937,10
1938,11
1939,14
1940,7
1941,14
1942,29
1943,26
1944,28
1945,36
1946,75
1947,125
1948,207
1949,203
1950,212
1951,233
1952,244
1953,279
1954,303
1955,383
1956,461
1957,662
1958,795
1959,889
1960,670
1961,588
1962,502
1963,433
1964,331
1965,263
1966,183
1967,157
1968,120
1969,107
1970,110
1971,87
1972,60
1973,64
1974,52
1975,38
1976,27
1977,38
1978,43
1979,44
1980,33
1981,35
1982,26
1983,21
1984,25
1985,21
1986,15
1987,14
1988,10
1989,15
1990,18
1991,17
1992,15
1993,15
1994,10
1995,9
1996,15
1997,10
1998,8
1999,10
2000,11
2001,6
2002,9
2003,7
2004,10
2005,5
2006,8
2007,5
2008,6
2009,6
2010,7
2011,0
2012,13
