year,Delfina
1880,0
1881,0
1882,0
1883,0
1884,7
1885,0
1886,0
1887,0
1888,5
1889,0
1890,0
1891,8
1892,0
1893,8
1894,6
1895,9
1896,14
1897,8
1898,9
1899,6
1900,13
1901,10
1902,6
1903,8
1904,10
1905,8
1906,6
1907,13
1908,12
1909,10
1910,21
1911,20
1912,16
1913,18
1914,36
1915,44
1916,32
1917,39
1918,40
1919,47
1920,42
1921,53
1922,58
1923,66
1924,66
1925,86
1926,63
1927,71
1928,59
1929,70
1930,53
1931,51
1932,53
1933,57
1934,60
1935,40
1936,44
1937,30
1938,40
1939,42
1940,31
1941,47
1942,44
1943,35
1944,46
1945,53
1946,42
1947,51
1948,46
1949,46
1950,45
1951,39
1952,52
1953,37
1954,40
1955,33
1956,39
1957,44
1958,49
1959,34
1960,28
1961,32
1962,33
1963,41
1964,30
1965,23
1966,41
1967,34
1968,30
1969,31
1970,27
1971,24
1972,23
1973,35
1974,29
1975,37
1976,27
1977,44
1978,35
1979,32
1980,31
1981,25
1982,37
1983,33
1984,19
1985,28
1986,24
1987,16
1988,33
1989,19
1990,14
1991,21
1992,22
1993,15
1994,21
1995,25
1996,20
1997,23
1998,19
1999,19
2000,18
2001,17
2002,17
2003,31
2004,18
2005,20
2006,16
2007,20
2008,16
2009,19
2010,19
2011,17
2012,17
