year,Delorse
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,5
1919,0
1920,0
1921,9
1922,0
1923,5
1924,7
1925,9
1926,8
1927,7
1928,21
1929,17
1930,19
1931,24
1932,25
1933,20
1934,33
1935,22
1936,29
1937,27
1938,28
1939,24
1940,21
1941,26
1942,26
1943,26
1944,18
1945,23
1946,25
1947,31
1948,30
1949,33
1950,29
1951,19
1952,31
1953,29
1954,37
1955,37
1956,35
1957,35
1958,38
1959,30
1960,18
1961,20
1962,19
1963,25
1964,25
1965,15
1966,19
1967,10
1968,11
1969,12
1970,8
1971,7
1972,12
1973,6
1974,0
1975,7
1976,0
1977,5
1978,0
1979,0
1980,0
1981,0
1982,0
1983,0
1984,5
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
