year,Delsie
1880,0
1881,0
1882,0
1883,0
1884,5
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,5
1892,5
1893,0
1894,8
1895,7
1896,9
1897,5
1898,7
1899,11
1900,10
1901,5
1902,7
1903,13
1904,9
1905,18
1906,12
1907,8
1908,17
1909,11
1910,16
1911,19
1912,13
1913,17
1914,23
1915,31
1916,23
1917,32
1918,36
1919,35
1920,40
1921,35
1922,35
1923,39
1924,37
1925,40
1926,35
1927,36
1928,28
1929,32
1930,28
1931,30
1932,17
1933,18
1934,32
1935,19
1936,15
1937,24
1938,18
1939,19
1940,12
1941,21
1942,17
1943,17
1944,13
1945,15
1946,11
1947,20
1948,11
1949,12
1950,15
1951,14
1952,9
1953,11
1954,10
1955,14
1956,17
1957,8
1958,10
1959,16
1960,11
1961,11
1962,6
1963,5
1964,0
1965,11
1966,5
1967,5
1968,18
1969,7
1970,0
1971,12
1972,11
1973,5
1974,0
1975,0
1976,0
1977,0
1978,0
1979,0
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,7
1993,0
1994,0
1995,0
1996,5
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,8
2005,0
2006,6
2007,0
2008,0
2009,5
2010,0
2011,0
2012,0
