year,Dorthey
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,6
1906,0
1907,0
1908,0
1909,6
1910,8
1911,6
1912,6
1913,6
1914,18
1915,16
1916,24
1917,28
1918,28
1919,26
1920,41
1921,48
1922,53
1923,40
1924,58
1925,53
1926,39
1927,48
1928,38
1929,42
1930,49
1931,48
1932,59
1933,47
1934,51
1935,39
1936,36
1937,44
1938,29
1939,35
1940,30
1941,29
1942,30
1943,36
1944,29
1945,30
1946,21
1947,24
1948,23
1949,13
1950,17
1951,27
1952,10
1953,10
1954,11
1955,15
1956,15
1957,14
1958,9
1959,10
1960,13
1961,9
1962,13
1963,13
1964,5
1965,11
1966,0
1967,6
1968,6
1969,5
1970,0
1971,0
1972,0
1973,0
1974,0
1975,0
1976,0
1977,0
1978,0
1979,0
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
