year,Darci
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,0
1949,0
1950,8
1951,5
1952,12
1953,20
1954,29
1955,26
1956,38
1957,28
1958,56
1959,58
1960,109
1961,114
1962,121
1963,117
1964,134
1965,124
1966,143
1967,151
1968,179
1969,217
1970,234
1971,217
1972,175
1973,175
1974,192
1975,160
1976,153
1977,159
1978,134
1979,218
1980,241
1981,203
1982,182
1983,180
1984,150
1985,141
1986,105
1987,99
1988,112
1989,126
1990,111
1991,85
1992,83
1993,66
1994,58
1995,69
1996,55
1997,51
1998,46
1999,47
2000,51
2001,44
2002,37
2003,45
2004,48
2005,31
2006,27
2007,21
2008,40
2009,29
2010,12
2011,27
2012,28
