year,Daina
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,6
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,6
1939,0
1940,0
1941,0
1942,5
1943,5
1944,0
1945,0
1946,7
1947,5
1948,5
1949,7
1950,15
1951,17
1952,14
1953,29
1954,19
1955,28
1956,26
1957,22
1958,39
1959,49
1960,45
1961,49
1962,46
1963,60
1964,88
1965,44
1966,46
1967,47
1968,40
1969,49
1970,51
1971,69
1972,45
1973,46
1974,38
1975,38
1976,66
1977,50
1978,58
1979,67
1980,60
1981,46
1982,51
1983,66
1984,47
1985,47
1986,58
1987,42
1988,35
1989,46
1990,36
1991,38
1992,43
1993,25
1994,29
1995,32
1996,23
1997,33
1998,24
1999,15
2000,23
2001,33
2002,18
2003,20
2004,29
2005,15
2006,22
2007,21
2008,23
2009,11
2010,14
2011,12
2012,16
