year,Doc
1880,9
1881,13
1882,12
1883,18
1884,10
1885,12
1886,12
1887,10
1888,12
1889,13
1890,9
1891,7
1892,16
1893,7
1894,9
1895,9
1896,7
1897,9
1898,8
1899,9
1900,18
1901,5
1902,6
1903,10
1904,5
1905,9
1906,7
1907,10
1908,6
1909,12
1910,9
1911,13
1912,13
1913,23
1914,15
1915,17
1916,28
1917,20
1918,14
1919,14
1920,27
1921,18
1922,20
1923,11
1924,19
1925,22
1926,20
1927,12
1928,9
1929,12
1930,12
1931,10
1932,9
1933,6
1934,8
1935,9
1936,14
1937,0
1938,0
1939,0
1940,6
1941,6
1942,9
1943,8
1944,8
1945,5
1946,6
1947,6
1948,7
1949,0
1950,7
1951,9
1952,7
1953,7
1954,0
1955,10
1956,11
1957,5
1958,7
1959,0
1960,6
1961,8
1962,7
1963,0
1964,6
1965,5
1966,9
1967,0
1968,0
1969,0
1970,6
1971,8
1972,0
1973,7
1974,0
1975,0
1976,0
1977,0
1978,0
1979,6
1980,0
1981,0
1982,6
1983,6
1984,0
1985,7
1986,5
1987,9
1988,5
1989,0
1990,5
1991,0
1992,0
1993,0
1994,0
1995,8
1996,0
1997,7
1998,6
1999,6
2000,5
2001,7
2002,5
2003,8
2004,11
2005,8
2006,6
2007,9
2008,13
2009,11
2010,10
2011,10
2012,18
